學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
111,私立,一般大學,1014,義守大學,學士班(日間),大陸地區,大陸地區,12,7,5,0,0,0,0,0,0,0,0,0,12,7,5
111,私立,一般大學,1014,義守大學,學士班(日間),大韓民國(南韓),其他亞洲地區,5,4,1,1,1,0,4,3,1,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),巴勒斯坦,其他亞洲地區,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),日本,其他亞洲地區,104,38,66,104,38,66,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),加拿大,北美洲,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),尼加拉瓜,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),印度尼西亞共和國,東協,250,111,139,220,98,122,30,13,17,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),宏都拉斯共和國,中南美洲,16,6,10,16,6,10,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),貝里斯,中南美洲,24,8,16,24,8,16,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),香港,港澳,392,211,181,0,0,0,0,0,0,392,211,181,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),海地共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,私立,一般大學,1014,義守大學,學士班(日間),秘魯共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
