學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
112,私立,一般大學,1014,義守大學,02111001,電影與電視學系,學士班(日間),18,4,14,7.44
112,私立,一般大學,1014,義守大學,02122067,傳播與設計學院文創傳播與設計碩士班,碩士班(日間),8,2,6,33.33
112,私立,一般大學,1014,義守大學,02122068,國際傳媒與娛樂管理學系,學士班(日間),70,19,51,64.22
112,私立,一般大學,1014,義守大學,02122073,創意整合設計學系,學士班(日間),4,2,2,3.08
112,私立,一般大學,1014,義守大學,02122075,新媒體設計學系,學士班(日間),11,8,3,6.43
112,私立,一般大學,1014,義守大學,02311003,應用日語學系,學士班(日間),2,0,2,0.79
112,私立,一般大學,1014,義守大學,02311074,國際溝通暨應用英語學系,學士班(日間),36,12,24,16.14
112,私立,一般大學,1014,義守大學,03211008,大眾傳播學系,學士班(日間),19,6,13,7.88
112,私立,一般大學,1014,義守大學,03214063,傳播產製英語學士學位學程,學士班(日間),4,2,2,80.00
112,私立,一般大學,1014,義守大學,04111009,會計學系,學士班(日間),1,0,1,0.51
112,私立,一般大學,1014,義守大學,04121017,國際財務金融學系,學士班(日間),25,11,14,45.45
112,私立,一般大學,1014,義守大學,04121066,財務金融管理學系,學士班(日間),2,1,1,0.62
112,私立,一般大學,1014,義守大學,04121066,財務金融管理學系,碩士班(日間),3,0,3,27.27
112,私立,一般大學,1014,義守大學,04121084,財務與商業分析英語學士學位學程,學士班(日間),8,2,6,61.54
112,私立,一般大學,1014,義守大學,04131010,企業管理學系,學士班(日間),36,10,26,13.04
112,私立,一般大學,1014,義守大學,04131010,企業管理學系,碩士班(日間),73,17,56,85.88
112,私立,一般大學,1014,義守大學,04131012,管理學院管理博士班,博士班,4,2,2,14.81
112,私立,一般大學,1014,義守大學,04131013,國際企業經營英語學士學位學程,學士班(日間),22,9,13,100.00
112,私立,一般大學,1014,義守大學,04131013,國際企業經營學系,學士班(日間),82,40,42,78.10
112,私立,一般大學,1014,義守大學,04131015,國際商務學系,學士班(日間),42,17,25,17.43
112,私立,一般大學,1014,義守大學,04131019,工業管理學系,學士班(日間),2,0,2,1.67
112,私立,一般大學,1014,義守大學,04131080,國際學院國際管理碩士班,碩士班(日間),26,10,16,100.00
112,私立,一般大學,1014,義守大學,05191044,營養學系,學士班(日間),7,2,5,3.08
112,私立,一般大學,1014,義守大學,06131024,資訊管理學系,學士班(日間),15,12,3,5.40
112,私立,一般大學,1014,義守大學,06131027,資訊工程學系,學士班(日間),2,1,1,0.45
112,私立,一般大學,1014,義守大學,06131069,智慧網路科技學系,學士班(日間),1,1,0,0.88
112,私立,一般大學,1014,義守大學,07111033,化學工程學系,學士班(日間),1,1,0,0.43
112,私立,一般大學,1014,義守大學,07111033,化學工程學系生物技術與化學工程博士班,博士班,1,1,0,3.57
112,私立,一般大學,1014,義守大學,07141025,電機工程學系,學士班(日間),1,1,0,0.19
112,私立,一般大學,1014,義守大學,07141026,電子工程學系,學士班(日間),3,2,1,1.23
112,私立,一般大學,1014,義守大學,07141072,智慧科技英語學士學位學程,學士班(日間),68,46,22,76.40
112,私立,一般大學,1014,義守大學,07151030,機械與自動化工程學系,學士班(日間),2,2,0,0.89
112,私立,一般大學,1014,義守大學,09121011,學士後醫學系外國學生專班,學士班(日間),65,25,40,100.00
112,私立,一般大學,1014,義守大學,09121040,學士後中醫學系,學士班(日間),4,3,1,1.61
112,私立,一般大學,1014,義守大學,09131046,護理學系,學士班(日間),2,1,1,0.45
112,私立,一般大學,1014,義守大學,09141050,醫學影像暨放射科學系,學士班(日間),1,1,0,0.28
112,私立,一般大學,1014,義守大學,09141061,醫學檢驗技術學系,學士班(日間),2,0,2,0.64
112,私立,一般大學,1014,義守大學,09151042,物理治療學系,學士班(日間),2,0,2,0.53
112,私立,一般大學,1014,義守大學,10131051,餐旅管理學系,學士班(日間),42,15,27,19.00
112,私立,一般大學,1014,義守大學,10131077,廚藝暨美食學學系,學士班(日間),39,12,27,14.08
112,私立,一般大學,1014,義守大學,10151055,國際觀光餐旅學系,學士班(日間),58,20,38,61.70
112,私立,一般大學,1014,義守大學,10151078,觀光智慧服務與科技學系,學士班(日間),35,6,29,21.21
112,私立,一般大學,1014,義守大學,10151082,智慧觀光餐旅管理英語學士學位學程,學士班(日間),16,5,11,88.89
112,私立,一般大學,1014,義守大學,10152076,運動科技與休閒管理學系,學士班(日間),10,4,6,7.63
