學年度,設立別,學校類別,學校統計處代碼,學校名稱,合作學校國家(地區)別,合作學校國家(地區)區域別,與國外及兩岸學校建立姊妹校數(109.02新增),建立跨國學位合作 (雙聯學制)學校數,與國外及兩岸學校進行學術合作交流計畫之件數(109.02新增)
112,公立,一般大學,0001,國立政治大學,馬來西亞,東協,3,0,1
112,公立,一般大學,0001,國立政治大學,菲律賓共和國,東協,5,0,1
112,公立,一般大學,0001,國立政治大學,泰國,東協,8,0,1
112,公立,一般大學,0001,國立政治大學,越南社會主義共和國,東協,7,0,0
112,公立,一般大學,0001,國立政治大學,印度尼西亞共和國,東協,7,1,0
112,公立,一般大學,0001,國立政治大學,新加坡共和國,東協,3,2,0
112,公立,一般大學,0001,國立政治大學,印度,南亞,6,0,0
112,公立,一般大學,0001,國立政治大學,澳門,港澳,1,0,0
112,公立,一般大學,0001,國立政治大學,香港,港澳,9,1,1
112,公立,一般大學,0001,國立政治大學,大陸地區,大陸地區,53,1,1
112,公立,一般大學,0001,國立政治大學,澳大利亞,其他亞洲地區,10,6,2
112,公立,一般大學,0001,國立政治大學,以色列,其他亞洲地區,2,0,0
112,公立,一般大學,0001,國立政治大學,日本,其他亞洲地區,54,12,5
112,公立,一般大學,0001,國立政治大學,大韓民國(南韓),其他亞洲地區,37,2,1
112,公立,一般大學,0001,國立政治大學,科威特,其他亞洲地區,1,0,0
112,公立,一般大學,0001,國立政治大學,阿曼王國,其他亞洲地區,1,0,0
112,公立,一般大學,0001,國立政治大學,沙烏地阿拉伯王國,其他亞洲地區,1,0,0
112,公立,一般大學,0001,國立政治大學,土耳其共和國,其他亞洲地區,7,0,0
112,公立,一般大學,0001,國立政治大學,俄羅斯聯邦,其他亞洲地區,11,0,0
112,公立,一般大學,0001,國立政治大學,烏茲別克共和國,其他亞洲地區,1,0,0
112,公立,一般大學,0001,國立政治大學,紐西蘭,其他亞洲地區,4,0,0
112,公立,一般大學,0001,國立政治大學,約旦哈什米王國,其他亞洲地區,1,0,0
112,公立,一般大學,0001,國立政治大學,烏克蘭,其他亞洲地區,1,0,0
112,公立,一般大學,0001,國立政治大學,蒙古國,其他亞洲地區,1,0,0
112,公立,一般大學,0001,國立政治大學,哈薩克共和國,其他亞洲地區,2,0,0
112,公立,一般大學,0001,國立政治大學,奧地利共和國,歐洲,4,1,0
112,公立,一般大學,0001,國立政治大學,捷克共和國,歐洲,8,0,0
112,公立,一般大學,0001,國立政治大學,丹麥王國,歐洲,4,0,0
112,公立,一般大學,0001,國立政治大學,教廷,歐洲,1,0,0
112,公立,一般大學,0001,國立政治大學,冰島共和國,歐洲,2,0,0
112,公立,一般大學,0001,國立政治大學,列支敦斯登侯國,歐洲,1,0,0
112,公立,一般大學,0001,國立政治大學,挪威王國,歐洲,2,0,0
