學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
112,1,公立,一般大學,0001,國立政治大學,學士班(日間),男,3928,83,27,26,0,0,0,0,1,0,56,1,0,1,54,0
112,1,公立,一般大學,0001,國立政治大學,碩士班(日間),男,1835,70,12,6,0,0,1,0,5,0,58,3,0,4,51,0
112,1,公立,一般大學,0001,國立政治大學,碩士在職專班,男,938,29,3,1,0,0,0,0,2,0,26,1,0,0,25,0
112,1,公立,一般大學,0001,國立政治大學,博士班,男,517,17,3,2,0,0,0,0,1,0,14,4,0,3,7,0
112,1,公立,一般大學,0001,國立政治大學,學士班(日間),女,5835,82,30,29,0,0,1,0,0,0,52,0,0,0,52,0
112,1,公立,一般大學,0001,國立政治大學,碩士班(日間),女,2396,67,14,8,0,0,2,3,1,0,53,1,0,1,51,0
112,1,公立,一般大學,0001,國立政治大學,碩士在職專班,女,965,28,2,2,0,0,0,0,0,0,26,1,0,2,23,0
112,1,公立,一般大學,0001,國立政治大學,博士班,女,404,9,3,3,0,0,0,0,0,0,6,1,0,1,4,0
112,1,公立,一般大學,0002,國立清華大學,學士班(日間),男,5039,125,38,31,0,0,1,2,4,0,87,8,0,41,38,0
112,1,公立,一般大學,0002,國立清華大學,碩士班(日間),男,3526,89,18,11,0,0,0,1,5,1,71,9,0,42,20,0
112,1,公立,一般大學,0002,國立清華大學,碩士在職專班,男,509,14,3,1,0,0,0,0,1,1,11,1,0,8,2,0
112,1,公立,一般大學,0002,國立清華大學,博士班,男,1131,46,13,4,0,0,0,2,5,2,33,6,0,22,5,0
112,1,公立,一般大學,0002,國立清華大學,學士班(日間),女,4236,75,18,15,0,0,2,0,1,0,57,4,0,24,29,0
112,1,公立,一般大學,0002,國立清華大學,碩士班(日間),女,2341,67,20,5,0,0,1,0,8,6,47,5,0,27,15,0
112,1,公立,一般大學,0002,國立清華大學,碩士在職專班,女,904,28,5,2,0,0,0,0,2,1,23,1,0,15,6,1
112,1,公立,一般大學,0002,國立清華大學,博士班,女,505,18,6,3,0,0,2,0,1,0,12,1,0,6,5,0
112,1,公立,一般大學,0003,國立臺灣大學,學士班(日間),男,9652,266,91,54,0,0,0,0,0,37,175,18,0,157,0,0
112,1,公立,一般大學,0003,國立臺灣大學,碩士班(日間),男,6742,225,27,5,0,0,0,1,6,15,198,34,0,19,145,0
112,1,公立,一般大學,0003,國立臺灣大學,碩士在職專班,男,948,30,3,0,0,0,1,0,0,2,27,4,0,6,17,0
112,1,公立,一般大學,0003,國立臺灣大學,博士班,男,2454,105,20,4,0,0,0,0,5,11,85,30,1,20,34,0
112,1,公立,一般大學,0003,國立臺灣大學,學士班(日間),女,7671,160,54,31,0,0,0,0,0,23,106,11,0,94,1,0
112,1,公立,一般大學,0003,國立臺灣大學,碩士班(日間),女,4586,149,24,5,0,0,1,1,5,12,125,18,0,12,95,0
112,1,公立,一般大學,0003,國立臺灣大學,碩士在職專班,女,629,18,4,0,0,0,0,0,2,2,14,2,0,3,9,0
112,1,公立,一般大學,0003,國立臺灣大學,博士班,女,1200,44,10,1,0,0,0,1,1,7,34,9,0,2,23,0
112,1,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),男,3846,80,33,32,0,0,0,0,1,0,47,3,0,44,0,0
112,1,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),男,1878,85,12,6,0,0,0,0,5,1,73,9,0,64,0,0
112,1,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,男,680,18,1,1,0,0,0,0,0,0,17,1,0,16,0,0
112,1,公立,一般大學,0004,國立臺灣師範大學,博士班,男,630,33,1,1,0,0,0,0,0,0,32,3,0,29,0,0
112,1,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),女,4657,69,25,23,0,0,1,1,0,0,44,0,0,44,0,0
112,1,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),女,2506,126,24,11,0,0,0,1,10,2,102,6,0,96,0,0
112,1,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,女,1592,41,2,1,0,0,0,0,0,1,39,2,0,37,0,0
112,1,公立,一般大學,0004,國立臺灣師範大學,博士班,女,707,31,9,3,1,0,2,0,2,1,22,2,0,20,0,0
112,1,公立,一般大學,0005,國立成功大學,學士班(日間),男,7451,229,79,73,0,0,2,1,3,0,150,31,0,12,107,0
112,1,公立,一般大學,0005,國立成功大學,碩士班(日間),男,4739,126,27,24,0,0,1,0,1,1,99,5,0,12,82,0
112,1,公立,一般大學,0005,國立成功大學,碩士在職專班,男,932,50,4,1,0,0,2,0,1,0,46,1,0,12,33,0
