學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,前一學年度錄取1年級在學學生人數(A),當學年度2年級在學學生數(B),前一學年度學生就學穩定率(%)(C)(C=B/A)
112,公立,一般大學,0001,國立政治大學,學士班(日間),2062,1998,96.90
112,公立,一般大學,0002,國立清華大學,學士班(日間),1976,1870,94.64
112,公立,一般大學,0003,國立臺灣大學,學士班(日間),3407,3273,96.07
112,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),1777,1703,95.84
112,公立,一般大學,0005,國立成功大學,學士班(日間),2643,2516,95.19
112,公立,一般大學,0006,國立中興大學,學士班(日間),1878,1781,94.83
112,公立,一般大學,0006,國立中興大學,學士班(進修),222,177,79.73
112,公立,一般大學,0007,國立陽明交通大學,學士班(日間),1784,1708,95.74
112,公立,一般大學,0008,國立中央大學,學士班(日間),1516,1423,93.87
112,公立,一般大學,0009,國立中山大學,學士班(日間),1158,1104,95.34
112,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),1357,1302,95.95
112,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),204,173,84.80
112,公立,一般大學,0013,國立中正大學,學士班(日間),1574,1508,95.81
112,公立,一般大學,0014,國立高雄師範大學,學士班(日間),910,844,92.75
112,公立,一般大學,0015,國立彰化師範大學,學士班(日間),1149,1094,95.21
112,公立,一般大學,0017,國立臺北大學,學士班(日間),1342,1290,96.13
112,公立,一般大學,0017,國立臺北大學,學士班(進修),457,355,77.68
112,公立,一般大學,0018,國立嘉義大學,學士班(日間),1622,1501,92.54
112,公立,一般大學,0018,國立嘉義大學,學士班(進修),450,355,78.89
112,公立,一般大學,0019,國立高雄大學,學士班(日間),1054,976,92.60
112,公立,一般大學,0019,國立高雄大學,學士班(進修),41,28,68.29
112,公立,一般大學,0020,國立東華大學,學士班(日間),1625,1494,91.94
112,公立,一般大學,0021,國立暨南國際大學,學士班(日間),1057,996,94.23
112,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),1302,1251,96.08
112,公立,技專校院,0023,國立雲林科技大學,學士班(日間),1609,1546,96.08
112,公立,技專校院,0023,國立雲林科技大學,學士班(進修),55,44,80.00
112,公立,技專校院,0024,國立屏東科技大學,學士班(日間),1801,1648,91.50
112,公立,技專校院,0024,國立屏東科技大學,學士班(進修),265,209,78.87
112,公立,技專校院,0025,國立臺北科技大學,五專,35,33,94.29
112,公立,技專校院,0025,國立臺北科技大學,學士班(日間),1427,1394,97.69
112,公立,技專校院,0025,國立臺北科技大學,學士班(進修),221,218,98.64
112,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),351,331,94.30
112,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),524,488,93.13
112,公立,一般大學,0029,國立臺灣藝術大學,學士班(進修),498,447,89.76
112,公立,一般大學,0030,國立臺東大學,學士班(日間),859,737,85.80
112,公立,一般大學,0030,國立臺東大學,學士班(進修),114,94,82.46
112,公立,一般大學,0031,國立宜蘭大學,學士班(日間),1088,965,88.69
112,公立,一般大學,0031,國立宜蘭大學,學士班(進修),92,73,79.35
