學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
113,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),男,69,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),男,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,男,45,17,17,0,0,0,0,11,0,5,0,0,0,0,1,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),女,152,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
113,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),女,28,7,7,0,0,0,0,3,0,2,0,1,1,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,女,49,8,8,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0
113,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),男,17,5,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,2
113,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),女,23,10,6,0,0,0,0,4,0,0,0,1,0,0,0,0,1,4,0,4
113,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,男,29,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3
113,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,女,58,11,4,0,0,0,0,2,0,1,0,0,0,0,1,0,0,7,0,7
113,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),男,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2
113,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),女,25,27,19,0,0,0,0,6,1,5,0,0,1,0,2,0,4,8,0,8
113,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),男,14,3,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,男,11,3,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),女,16,4,4,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,女,12,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2
113,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),男,93,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
113,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),男,33,8,6,2,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,2
113,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,男,18,5,5,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),女,86,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
113,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),女,16,6,6,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,女,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),男,38,11,9,1,0,0,0,2,0,0,1,0,5,0,0,0,0,2,0,2
113,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,男,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
