學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
112,公立,一般大學,0001,國立政治大學,學士班(日間),男,3928,181,122,15,1,24,4,2,0,0,4,20,0,0,7,0,45,59,0,59
112,公立,一般大學,0001,國立政治大學,碩士班(日間),男,1835,402,303,9,0,0,1,68,0,17,23,9,86,1,26,0,63,99,0,99
112,公立,一般大學,0001,國立政治大學,碩士在職專班,男,938,298,202,8,0,0,0,131,0,36,1,1,9,0,8,0,8,96,0,96
112,公立,一般大學,0001,國立政治大學,博士班,男,517,194,132,10,3,0,1,31,0,24,5,4,26,1,14,0,13,62,0,62
112,公立,一般大學,0001,國立政治大學,學士班(日間),女,5835,218,168,42,1,19,1,2,0,0,0,33,0,0,13,0,57,50,0,50
112,公立,一般大學,0001,國立政治大學,碩士班(日間),女,2396,452,339,23,2,0,0,87,7,40,0,19,81,0,26,0,54,113,0,113
112,公立,一般大學,0001,國立政治大學,碩士在職專班,女,965,276,213,10,0,0,0,112,11,41,0,3,23,0,9,0,4,63,0,63
112,公立,一般大學,0001,國立政治大學,博士班,女,404,133,99,8,0,0,0,23,6,20,0,0,24,0,10,0,8,34,0,34
112,公立,一般大學,0002,國立清華大學,學士班(日間),男,5039,213,213,18,3,84,37,10,0,2,13,16,0,18,6,3,3,0,0,0
112,公立,一般大學,0002,國立清華大學,碩士班(日間),男,3526,254,254,20,4,19,14,57,0,4,16,10,69,10,13,4,14,0,0,0
112,公立,一般大學,0002,國立清華大學,碩士在職專班,男,509,60,60,1,0,0,2,30,0,12,0,0,12,0,2,1,0,0,0,0
112,公立,一般大學,0002,國立清華大學,博士班,男,1131,179,179,8,2,1,14,53,0,18,4,3,39,1,9,1,26,0,0,0
112,公立,一般大學,0002,國立清華大學,學士班(日間),女,4236,166,166,19,4,65,15,2,1,0,0,40,0,9,8,2,1,0,0,0
112,公立,一般大學,0002,國立清華大學,碩士班(日間),女,2341,321,321,29,5,16,6,90,2,21,0,22,79,4,10,28,9,0,0,0
112,公立,一般大學,0002,國立清華大學,碩士在職專班,女,904,193,193,20,0,3,1,39,5,54,0,2,58,0,6,3,2,0,0,0
112,公立,一般大學,0002,國立清華大學,博士班,女,505,96,96,5,2,0,2,25,6,10,0,3,20,1,8,0,14,0,0,0
112,公立,一般大學,0003,國立臺灣大學,學士班(日間),男,9652,439,433,32,6,174,15,16,0,1,4,67,0,13,6,7,92,6,0,6
112,公立,一般大學,0003,國立臺灣大學,碩士班(日間),男,6742,842,842,56,17,2,2,128,0,9,12,51,222,8,37,11,287,0,0,0
112,公立,一般大學,0003,國立臺灣大學,碩士在職專班,男,948,220,220,5,1,0,0,112,0,13,0,3,53,1,9,1,22,0,0,0
112,公立,一般大學,0003,國立臺灣大學,博士班,男,2454,608,608,28,14,3,2,106,0,41,5,23,245,1,44,1,95,0,0,0
112,公立,一般大學,0003,國立臺灣大學,學士班(日間),女,7671,339,337,51,1,91,7,9,0,3,0,78,0,8,6,6,77,2,0,2
