學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,前一學年度錄取1年級在學學生人數(A),當學年度2年級在學學生數(B),前一學年度學生就學穩定率(%)(C)(C=B/A)
113,公立,一般大學,0001,國立政治大學,學士班(日間),2055,1980,96.35
113,公立,一般大學,0002,國立清華大學,學士班(日間),1941,1852,95.41
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),3385,3235,95.57
113,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),1802,1715,95.17
113,公立,一般大學,0005,國立成功大學,學士班(日間),2588,2427,93.78
113,公立,一般大學,0006,國立中興大學,學士班(日間),1843,1732,93.98
113,公立,一般大學,0006,國立中興大學,學士班(進修),177,136,76.84
113,公立,一般大學,0007,國立陽明交通大學,學士班(日間),1868,1758,94.11
113,公立,一般大學,0008,國立中央大學,學士班(日間),1498,1418,94.66
113,公立,一般大學,0009,國立中山大學,學士班(日間),1144,1087,95.02
113,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),1383,1290,93.28
113,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),160,143,89.38
113,公立,一般大學,0013,國立中正大學,學士班(日間),1530,1441,94.18
113,公立,一般大學,0014,國立高雄師範大學,學士班(日間),918,810,88.24
113,公立,一般大學,0015,國立彰化師範大學,學士班(日間),1190,1118,93.95
113,公立,一般大學,0017,國立臺北大學,學士班(日間),1344,1288,95.83
113,公立,一般大學,0017,國立臺北大學,學士班(進修),435,321,73.79
113,公立,一般大學,0018,國立嘉義大學,學士班(日間),1846,1693,91.71
113,公立,一般大學,0018,國立嘉義大學,學士班(進修),390,297,76.15
113,公立,一般大學,0019,國立高雄大學,學士班(日間),1113,1009,90.66
113,公立,一般大學,0019,國立高雄大學,學士班(進修),49,35,71.43
113,公立,一般大學,0020,國立東華大學,學士班(日間),1754,1622,92.47
113,公立,一般大學,0021,國立暨南國際大學,學士班(日間),1113,1040,93.44
113,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),1295,1254,96.83
113,公立,技專校院,0023,國立雲林科技大學,學士班(日間),1749,1669,95.43
113,公立,技專校院,0023,國立雲林科技大學,學士班(進修),57,51,89.47
113,公立,技專校院,0024,國立屏東科技大學,學士班(日間),1768,1599,90.44
113,公立,技專校院,0024,國立屏東科技大學,學士班(進修),273,217,79.49
113,公立,技專校院,0025,國立臺北科技大學,五專,31,31,100.00
113,公立,技專校院,0025,國立臺北科技大學,學士班(日間),1461,1421,97.26
113,公立,技專校院,0025,國立臺北科技大學,學士班(進修),199,187,93.97
113,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),358,330,92.18
113,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),523,484,92.54
113,公立,一般大學,0029,國立臺灣藝術大學,學士班(進修),458,406,88.65
113,公立,一般大學,0030,國立臺東大學,學士班(日間),947,841,88.81
113,公立,一般大學,0030,國立臺東大學,學士班(進修),131,110,83.97
113,公立,一般大學,0031,國立宜蘭大學,學士班(日間),1089,961,88.25
113,公立,一般大學,0031,國立宜蘭大學,學士班(進修),90,70,77.78
113,公立,一般大學,0032,國立聯合大學,學士班(日間),1511,1370,90.67
113,公立,一般大學,0032,國立聯合大學,學士班(進修),276,211,76.45
113,公立,技專校院,0033,國立虎尾科技大學,二專(日間),37,32,86.49
113,公立,技專校院,0033,國立虎尾科技大學,五專,89,87,97.75
113,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),2006,1860,92.72
113,公立,技專校院,0033,國立虎尾科技大學,學士班(進修),659,548,83.16
113,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),135,115,85.19
113,公立,一般大學,0036,國立臺南大學,學士班(日間),944,871,92.27
113,公立,一般大學,0036,國立臺南大學,學士班(進修),42,27,64.29
113,公立,一般大學,0037,國立臺北教育大學,學士班(日間),782,744,95.14
113,公立,一般大學,0039,國立臺中教育大學,學士班(日間),747,697,93.31
113,公立,技專校院,0042,國立澎湖科技大學,五專,23,22,95.65
113,公立,技專校院,0042,國立澎湖科技大學,學士班(日間),513,432,84.21
113,公立,技專校院,0042,國立澎湖科技大學,學士班(進修),62,39,62.90
113,公立,技專校院,0043,國立勤益科技大學,二專(進修),122,86,70.49
113,公立,技專校院,0043,國立勤益科技大學,學士班(日間),1744,1586,90.94
113,公立,技專校院,0043,國立勤益科技大學,學士班(進修),1202,960,79.87
113,公立,一般大學,0044,國立體育大學,學士班(日間),468,428,91.45
113,公立,一般大學,0044,國立體育大學,學士班(進修),22,17,77.27
113,公立,技專校院,0046,國立臺北護理健康大學,學士班(日間),1185,1109,93.59
113,公立,技專校院,0046,國立臺北護理健康大學,學士班(進修),231,208,90.04
113,公立,技專校院,0047,國立高雄餐旅大學,五專,54,51,94.44
113,公立,技專校院,0047,國立高雄餐旅大學,學士班(日間),624,588,94.23
113,公立,技專校院,0047,國立高雄餐旅大學,學士班(進修),235,220,93.62
113,公立,一般大學,0048,國立金門大學,學士班(日間),700,592,84.57
113,公立,一般大學,0048,國立金門大學,學士班(進修),149,104,69.80
113,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),561,469,83.60
113,公立,一般大學,0049,國立臺灣體育運動大學,學士班(進修),96,68,70.83
113,公立,技專校院,0050,國立臺中科技大學,二專(進修),325,244,75.08
113,公立,技專校院,0050,國立臺中科技大學,五專,765,718,93.86
113,公立,技專校院,0050,國立臺中科技大學,學士班(日間),1993,1877,94.18
113,公立,技專校院,0050,國立臺中科技大學,學士班(進修),1456,1158,79.53
113,公立,技專校院,0051,國立臺北商業大學,二專(進修),38,24,63.16
113,公立,技專校院,0051,國立臺北商業大學,五專,350,334,95.43
113,公立,技專校院,0051,國立臺北商業大學,學士班(日間),799,755,94.49
113,公立,技專校院,0051,國立臺北商業大學,學士班(進修),588,521,88.61
113,公立,一般大學,0052,國立屏東大學,學士班(日間),1598,1494,93.49
