學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),218,78,140
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),39,15,24
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,101,45,56
111,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),48,14,34
111,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,80,28,52
111,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),54,5,49
111,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),26,12,14
111,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,27,15,12
111,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),173,92,81
111,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),58,45,13
111,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,25,18,7
111,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),54,36,18
111,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,19,12,7
111,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),180,80,100
111,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),19,10,9
111,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,18,7,11
111,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),190,104,86
111,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),48,35,13
111,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,30,21,9
111,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),272,75,197
111,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),70,15,55
111,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,25,11,14
111,公立,一般大學,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,碩士在職專班,28,5,23
111,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),187,45,142
111,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),22,8,14
111,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),164,60,104
111,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),144,21,123
111,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),23,0,23
111,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),115,28,87
111,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),274,51,223
111,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),213,48,165
111,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,碩士班(日間),13,4,9
111,公立,一般大學,0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,學士班(日間),125,39,86
111,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),41,20,21
111,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,9,4,5
111,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),336,82,254
111,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),99,40,59
111,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,52,31,21
111,公立,一般大學,0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,碩士在職專班,75,12,63
111,公立,一般大學,0001,國立政治大學,02323002,華語文教學博士學位學程,博士班,14,1,13
111,公立,一般大學,0001,國立政治大學,02323002,華語文教學碩士學位學程,碩士班(日間),50,10,40
111,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),34,12,22
111,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,博士班,9,5,4
111,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),415,229,186
111,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),95,71,24
111,公立,一般大學,0001,國立政治大學,03111024,經濟學系,博士班,10,9,1
111,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),37,16,21
111,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),215,88,127
111,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),72,45,27
111,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,23,17,6
111,公立,一般大學,0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,碩士在職專班,72,47,25
111,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),278,116,162
111,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),77,37,40
111,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,8,6,2
111,公立,一般大學,0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,碩士在職專班,75,50,25
111,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),55,33,22
111,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),212,62,150
111,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),89,24,65
