學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
111,公立,一般大學,0001,國立政治大學,學士班(日間),9732,3976,5756
111,公立,一般大學,0001,國立政治大學,碩士班(日間),4203,1907,2296
111,公立,一般大學,0001,國立政治大學,碩士在職專班,1870,921,949
111,公立,一般大學,0001,國立政治大學,博士班,922,530,392
111,公立,一般大學,0002,國立清華大學,學士班(日間),9119,4958,4161
111,公立,一般大學,0002,國立清華大學,碩士班(日間),5859,3551,2308
111,公立,一般大學,0002,國立清華大學,碩士在職專班,1387,511,876
111,公立,一般大學,0002,國立清華大學,博士班,1669,1169,500
111,公立,一般大學,0003,國立臺灣大學,學士班(日間),17074,9514,7560
111,公立,一般大學,0003,國立臺灣大學,碩士班(日間),11096,6651,4445
111,公立,一般大學,0003,國立臺灣大學,碩士在職專班,1623,1003,620
111,公立,一般大學,0003,國立臺灣大學,博士班,3629,2444,1185
111,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),8394,3810,4584
111,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),4360,1903,2457
111,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,2182,650,1532
111,公立,一般大學,0004,國立臺灣師範大學,博士班,1326,632,694
111,公立,一般大學,0005,國立成功大學,學士班(日間),12010,7406,4604
111,公立,一般大學,0005,國立成功大學,碩士班(日間),7425,4776,2649
111,公立,一般大學,0005,國立成功大學,碩士在職專班,1533,932,601
111,公立,一般大學,0005,國立成功大學,博士班,1857,1231,626
111,公立,一般大學,0006,國立中興大學,學士班(日間),8201,4643,3558
111,公立,一般大學,0006,國立中興大學,學士班(進修),892,399,493
111,公立,一般大學,0006,國立中興大學,碩士班(日間),3668,2170,1498
111,公立,一般大學,0006,國立中興大學,碩士在職專班,1733,1114,619
111,公立,一般大學,0006,國立中興大學,博士班,969,655,314
111,公立,一般大學,0007,國立陽明交通大學,學士班(日間),8605,5489,3116
111,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),7617,4791,2826
111,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,1872,1173,699
111,公立,一般大學,0007,國立陽明交通大學,博士班,2613,1790,823
111,公立,一般大學,0008,國立中央大學,學士班(日間),6154,3823,2331
