學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
113,公立,一般大學,0001,國立政治大學,學士班(日間),大韓民國(南韓),其他亞洲地區,27,12,15,22,11,11,5,1,4,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),巴西聯邦共和國,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),日本,其他亞洲地區,52,13,39,41,9,32,11,4,7,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),加拿大,北美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),印度,南亞,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),印度尼西亞共和國,東協,85,29,56,20,8,12,65,21,44,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),宏都拉斯共和國,中南美洲,6,1,5,6,1,5,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),委內瑞拉共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),法國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),阿根廷,中南美洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),南非共和國,非洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),玻利維亞共和國,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),英國,歐洲,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),香港,港澳,77,40,37,0,0,0,0,0,0,77,40,37,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),挪威王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),秘魯共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),馬來西亞,東協,244,84,160,19,1,18,225,83,142,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),菲律賓共和國,東協,6,1,5,3,1,2,3,0,3,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),塞內加爾共和國,非洲,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),新加坡共和國,東協,7,1,6,3,0,3,4,1,3,0,0,0,0,0,0
