學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
113,私立,一般大學,1014,義守大學,學士班(日間),大韓民國(南韓),其他亞洲地區,4,3,1,1,1,0,3,2,1,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),巴拉圭,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),加拿大,北美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),尼泊爾聯邦民主共和國,南亞,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),瓜地馬拉共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),印度,南亞,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),印度尼西亞共和國,東協,243,103,140,191,87,104,52,16,36,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),吉爾吉斯,其他亞洲地區,18,7,11,18,7,11,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),宏都拉斯共和國,中南美洲,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),帛琉共和國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),肯亞共和國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),俄羅斯聯邦,其他亞洲地區,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),南非共和國,非洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),香港,港澳,252,153,99,0,0,0,0,0,0,252,153,99,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),馬來西亞,東協,89,57,32,42,26,16,47,31,16,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),菲律賓共和國,東協,40,20,20,40,20,20,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),越南社會主義共和國,東協,318,115,203,317,115,202,1,0,1,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),新加坡共和國,東協,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),聖文森(及格瑞那丁),中南美洲,6,1,5,6,1,5,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),聖克里斯多福及尼維斯,中南美洲,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),聖露西亞,中南美洲,25,6,19,25,6,19,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),蒙古國,其他亞洲地區,12,7,5,12,7,5,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),摩洛哥王國,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),澳門,港澳,27,19,8,0,0,0,0,0,0,27,19,8,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),日本,其他亞洲地區,105,39,66,105,39,66,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),史瓦帝尼王國,非洲,7,2,5,7,2,5,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),尼加拉瓜,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),吐瓦魯,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),西班牙王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),貝里斯,中南美洲,21,8,13,21,8,13,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),奈及利亞聯邦共和國,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),美國,北美洲,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),泰國,東協,84,36,48,84,36,48,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),海地共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),馬紹爾群島共和國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),象牙海岸共和國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,學士班(日間),塔吉克共和國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,碩士班(日間),巴勒斯坦,其他亞洲地區,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,碩士班(日間),史瓦帝尼王國,非洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,碩士班(日間),吐瓦魯,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,碩士班(日間),泰國,東協,16,2,14,16,2,14,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,碩士班(日間),大陸地區,大陸地區,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
113,私立,一般大學,1014,義守大學,碩士班(日間),印度尼西亞共和國,東協,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,碩士班(日間),香港,港澳,4,3,1,0,0,0,0,0,0,4,3,1,0,0,0
113,私立,一般大學,1014,義守大學,碩士班(日間),馬來西亞,東協,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,碩士班(日間),菲律賓共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,碩士班(日間),越南社會主義共和國,東協,54,17,37,54,17,37,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,碩士班(日間),蒙古國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,博士班,大陸地區,大陸地區,5,1,4,0,0,0,0,0,0,0,0,0,5,1,4
113,私立,一般大學,1014,義守大學,博士班,香港,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
113,私立,一般大學,1014,義守大學,博士班,馬來西亞,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,私立,一般大學,1014,義守大學,博士班,越南社會主義共和國,東協,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0
