學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
113,私立,一般大學,1014,義守大學,02111001,電影與電視學系,學士班(日間),15,1,14,7.01
113,私立,一般大學,1014,義守大學,02122067,傳播與設計學院文創傳播與設計碩士班,碩士班(日間),5,0,5,23.81
113,私立,一般大學,1014,義守大學,02122068,國際傳媒與娛樂管理學系,學士班(日間),74,21,53,71.15
113,私立,一般大學,1014,義守大學,02122073,創意整合設計學系,學士班(日間),5,1,4,4.24
113,私立,一般大學,1014,義守大學,02122075,新媒體設計學系,學士班(日間),9,7,2,6.67
113,私立,一般大學,1014,義守大學,02311003,應用日語學系,學士班(日間),2,0,2,0.91
113,私立,一般大學,1014,義守大學,02311074,國際溝通暨應用英語學系,學士班(日間),29,8,21,18.83
113,私立,一般大學,1014,義守大學,03211008,大眾傳播學系,學士班(日間),16,5,11,7.51
113,私立,一般大學,1014,義守大學,04111009,會計學系,學士班(日間),2,1,1,1.21
113,私立,一般大學,1014,義守大學,04121017,國際財務金融學系,學士班(日間),19,9,10,50.00
113,私立,一般大學,1014,義守大學,04121066,財務金融管理學系,學士班(日間),2,1,1,0.73
113,私立,一般大學,1014,義守大學,04121066,財務金融管理學系,碩士班(日間),1,0,1,11.11
113,私立,一般大學,1014,義守大學,04121084,財務與商業分析英語學士學位學程,學士班(日間),15,5,10,78.95
113,私立,一般大學,1014,義守大學,04131010,企業管理學系,學士班(日間),33,9,24,15.64
113,私立,一般大學,1014,義守大學,04131010,企業管理學系,碩士班(日間),33,6,27,76.74
113,私立,一般大學,1014,義守大學,04131012,管理學院管理博士班,博士班,6,4,2,23.08
113,私立,一般大學,1014,義守大學,04131013,國際企業經營英語學士學位學程,學士班(日間),50,27,23,92.59
113,私立,一般大學,1014,義守大學,04131013,國際企業經營學系,學士班(日間),62,32,30,87.32
113,私立,一般大學,1014,義守大學,04131015,國際商務學系,學士班(日間),38,15,23,20.54
113,私立,一般大學,1014,義守大學,04131019,工業管理學系,學士班(日間),2,0,2,2.15
113,私立,一般大學,1014,義守大學,04131080,國際學院國際管理碩士班,碩士班(日間),43,17,26,100.00
113,私立,一般大學,1014,義守大學,04134007,公共政策與管理學系,學士班(日間),1,0,1,1.12
113,私立,一般大學,1014,義守大學,05191044,營養學系,學士班(日間),3,1,2,1.46
113,私立,一般大學,1014,義守大學,06131024,資訊管理學系,學士班(日間),25,15,10,10.50
113,私立,一般大學,1014,義守大學,06131027,資訊工程學系,學士班(日間),49,28,21,9.63
113,私立,一般大學,1014,義守大學,06131069,智慧網路科技學系,學士班(日間),1,1,0,1.03
113,私立,一般大學,1014,義守大學,07111033,化學工程學系,學士班(日間),2,2,0,0.89
113,私立,一般大學,1014,義守大學,07111033,化學工程學系生物技術與化學工程博士班,博士班,1,1,0,4.00
113,私立,一般大學,1014,義守大學,07112034,材料科學與工程學系,學士班(日間),1,1,0,0.37
113,私立,一般大學,1014,義守大學,07141025,電機工程學系,學士班(日間),9,7,2,1.71
113,私立,一般大學,1014,義守大學,07141025,電機工程學系學士後二年制設備工程專班,學士班(日間),7,3,4,100.00
113,私立,一般大學,1014,義守大學,07141026,電子工程學系,學士班(日間),3,3,0,1.33
113,私立,一般大學,1014,義守大學,07141072,智慧科技英語學士學位學程,學士班(日間),69,45,24,78.41
113,私立,一般大學,1014,義守大學,07151030,機械與自動化工程學系,學士班(日間),20,19,1,9.22
113,私立,一般大學,1014,義守大學,07321031,土木工程學系,學士班(日間),2,2,0,1.14
113,私立,一般大學,1014,義守大學,09121011,學士後醫學系外國學生專班,學士班(日間),50,18,32,100.00
113,私立,一般大學,1014,義守大學,09121040,學士後中醫學系,學士班(日間),1,1,0,0.40
113,私立,一般大學,1014,義守大學,09131046,護理學系,學士班(日間),3,1,2,0.70
113,私立,一般大學,1014,義守大學,09141061,醫學檢驗技術學系,學士班(日間),2,0,2,0.58
113,私立,一般大學,1014,義守大學,09151042,物理治療學系,學士班(日間),1,0,1,0.25
113,私立,一般大學,1014,義守大學,10131051,餐旅管理學系,學士班(日間),116,30,86,40.70
113,私立,一般大學,1014,義守大學,10131077,廚藝暨美食學學系,學士班(日間),44,16,28,17.81
113,私立,一般大學,1014,義守大學,10151055,國際觀光餐旅學系,學士班(日間),45,14,31,67.16
113,私立,一般大學,1014,義守大學,10151078,觀光智慧服務與科技學系,學士班(日間),28,5,23,23.73
113,私立,一般大學,1014,義守大學,10151082,智慧觀光餐旅管理英語學士學位學程,學士班(日間),42,14,28,93.33
113,私立,一般大學,1014,義守大學,10152076,運動科技與休閒管理學系,學士班(日間),7,4,3,7.69
