學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),8,3,5,3.67
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),6,2,4,15.38
111,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,9,4,5,8.91
111,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),6,4,2,23.08
111,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,4,2,2,14.81
111,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),1,1,0,0.58
111,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,1,1,0,4.00
111,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),2,2,0,3.70
111,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,2,2,0,10.53
111,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),6,4,2,3.33
111,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),2,1,1,10.53
111,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,1,1,0,5.56
111,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),4,4,0,2.11
111,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),1,1,0,2.08
111,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,6,3,3,20.00
111,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),7,0,7,2.57
111,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),8,4,4,4.28
111,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),2,1,1,1.22
111,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),1,0,1,0.69
111,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),2,2,0,1.74
111,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),1,1,0,0.47
111,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),2,2,0,4.88
111,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,2,2,0,22.22
111,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),3,0,3,0.89
111,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),5,5,0,5.05
111,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,7,3,4,13.46
111,公立,一般大學,0001,國立政治大學,02323002,華語文教學博士學位學程,博士班,1,0,1,7.14
111,公立,一般大學,0001,國立政治大學,02323002,華語文教學碩士學位學程,碩士班(日間),2,0,2,4.00
111,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),10,4,6,2.41
111,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),24,15,9,64.86
111,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),3,0,3,1.40
111,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),1,1,0,1.39
111,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,1,0,1,4.35
111,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),14,4,10,5.04
111,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),4,1,3,5.19
111,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,3,3,0,37.50
111,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),43,29,14,78.18
111,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),2,0,2,2.25
111,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),1,0,1,0.47
111,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),3,1,2,5.08
111,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),5,5,0,6.49
111,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,博士班,8,5,3,24.24
111,公立,一般大學,0001,國立政治大學,03143036,日本研究碩士學位學程,碩士班(日間),2,1,1,5.00
111,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),2,1,1,6.45
111,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,63,33,30,90.00
111,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),70,36,34,87.50
111,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),5,3,2,6.58
111,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,博士班,6,2,4,17.14
111,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),8,2,6,3.35
111,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),32,8,24,48.48
111,公立,一般大學,0001,國立政治大學,03211056,傳播學院大一大二不分系,學士班(日間),12,0,12,3.07
111,公立,一般大學,0001,國立政治大學,03211056,傳播學院博士班,博士班,2,1,1,4.88
111,公立,一般大學,0001,國立政治大學,03213052,廣播電視學系,學士班(日間),10,2,8,4.59
111,公立,一般大學,0001,國立政治大學,03214093,全球傳播與創新科技碩士學位學程,碩士班(日間),18,3,15,41.86
111,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),2,0,2,3.45
111,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,博士班,1,1,0,7.14
111,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),1,0,1,0.26
111,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),4,1,3,1.57
111,公立,一般大學,0001,國立政治大學,04121068,金融學系,碩士班(日間),1,1,0,1.33
111,公立,一般大學,0001,國立政治大學,04121068,金融學系,博士班,1,0,1,3.70
111,公立,一般大學,0001,國立政治大學,04122070,財政學系,博士班,1,0,1,14.29
111,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),4,3,1,1.73
111,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,碩士班(日間),1,1,0,1.28
111,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),5,4,1,2.03
111,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),36,13,23,7.98
111,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,博士班,8,4,4,14.55
111,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),52,29,23,39.69
111,公立,一般大學,0001,國立政治大學,04131091,創新國際學院學士班,學士班(日間),56,21,35,48.70
111,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,碩士班(日間),1,0,1,1.01
111,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),9,2,7,2.27
111,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),2,2,0,1.65
111,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),4,1,3,1.59
111,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),2,1,1,1.21
111,公立,一般大學,0001,國立政治大學,04212073,法律學系,碩士班(日間),2,0,2,0.82
111,公立,一般大學,0001,國立政治大學,04212073,法律學系,博士班,1,1,0,2.50
