學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
111,1,公立,一般大學,0001,國立政治大學,學士班(日間),男,3976,85,28,28,0,0,0,0,0,0,57,0,0,1,56,0
111,1,公立,一般大學,0001,國立政治大學,碩士班(日間),男,1907,61,9,8,0,0,1,0,0,0,52,4,1,1,46,0
111,1,公立,一般大學,0001,國立政治大學,碩士在職專班,男,921,42,3,1,0,0,0,0,2,0,39,1,0,5,33,0
111,1,公立,一般大學,0001,國立政治大學,博士班,男,530,25,9,7,0,0,0,0,1,1,16,1,0,4,11,0
111,1,公立,一般大學,0001,國立政治大學,學士班(日間),女,5756,74,20,20,0,0,0,0,0,0,54,0,0,2,52,0
111,1,公立,一般大學,0001,國立政治大學,碩士班(日間),女,2296,66,8,6,0,0,0,0,1,1,58,0,0,2,56,0
111,1,公立,一般大學,0001,國立政治大學,碩士在職專班,女,949,22,8,4,0,0,1,0,2,1,14,1,0,2,11,0
111,1,公立,一般大學,0001,國立政治大學,博士班,女,392,15,6,4,0,0,1,0,1,0,9,0,0,5,4,0
111,1,公立,一般大學,0002,國立清華大學,學士班(日間),男,4958,123,36,32,0,0,0,1,1,2,87,10,1,38,38,0
111,1,公立,一般大學,0002,國立清華大學,碩士班(日間),男,3551,76,19,10,0,0,1,0,6,2,57,9,0,36,12,0
111,1,公立,一般大學,0002,國立清華大學,碩士在職專班,男,511,18,4,1,0,0,0,0,2,1,14,4,0,9,1,0
111,1,公立,一般大學,0002,國立清華大學,博士班,男,1169,45,14,4,0,0,0,0,6,4,31,9,0,17,5,0
111,1,公立,一般大學,0002,國立清華大學,學士班(日間),女,4161,67,30,29,0,0,0,1,0,0,37,1,0,16,20,0
111,1,公立,一般大學,0002,國立清華大學,碩士班(日間),女,2308,60,21,7,0,0,1,0,6,7,39,6,0,16,17,0
111,1,公立,一般大學,0002,國立清華大學,碩士在職專班,女,876,13,2,0,0,0,1,0,1,0,11,2,0,7,2,0
111,1,公立,一般大學,0002,國立清華大學,博士班,女,500,19,6,3,0,0,0,0,2,1,13,1,0,9,3,0
111,1,公立,一般大學,0003,國立臺灣大學,學士班(日間),男,9514,260,84,50,0,0,0,0,0,34,176,21,0,154,1,0
111,1,公立,一般大學,0003,國立臺灣大學,碩士班(日間),男,6651,195,51,49,0,0,0,0,1,1,144,0,0,16,128,0
111,1,公立,一般大學,0003,國立臺灣大學,碩士在職專班,男,1003,30,9,9,0,0,0,0,0,0,21,0,0,5,16,0
111,1,公立,一般大學,0003,國立臺灣大學,博士班,男,2444,113,55,46,0,0,3,1,3,2,58,0,0,15,43,0
111,1,公立,一般大學,0003,國立臺灣大學,學士班(日間),女,7560,180,46,20,0,0,0,0,0,26,134,10,0,118,6,0
111,1,公立,一般大學,0003,國立臺灣大學,碩士班(日間),女,4445,126,32,28,0,0,0,0,1,3,94,0,0,10,84,0
111,1,公立,一般大學,0003,國立臺灣大學,碩士在職專班,女,620,16,6,6,0,0,0,0,0,0,10,0,0,3,7,0
