學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,前一學年度錄取1年級在學學生人數(A),當學年度2年級在學學生數(B),前一學年度學生就學穩定率(%)(C)(C=B/A)
111,公立,一般大學,0001,國立政治大學,學士班(日間),2061,1979,96.02
111,公立,一般大學,0002,國立清華大學,學士班(日間),1944,1860,95.68
111,公立,一般大學,0003,國立臺灣大學,學士班(日間),3388,3244,95.75
111,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),1799,1717,95.44
111,公立,一般大學,0005,國立成功大學,學士班(日間),2607,2469,94.71
111,公立,一般大學,0006,國立中興大學,學士班(日間),1848,1749,94.64
111,公立,一般大學,0006,國立中興大學,學士班(進修),230,186,80.87
111,公立,一般大學,0007,國立陽明交通大學,學士班(日間),1840,1759,95.60
111,公立,一般大學,0008,國立中央大學,學士班(日間),1498,1426,95.19
111,公立,一般大學,0009,國立中山大學,學士班(日間),1109,1061,95.67
111,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),1386,1317,95.02
111,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),163,131,80.37
111,公立,一般大學,0013,國立中正大學,學士班(日間),1563,1488,95.20
111,公立,一般大學,0014,國立高雄師範大學,學士班(日間),924,860,93.07
111,公立,一般大學,0015,國立彰化師範大學,學士班(日間),1160,1104,95.17
111,公立,一般大學,0017,國立臺北大學,學士班(日間),1345,1305,97.03
111,公立,一般大學,0017,國立臺北大學,學士班(進修),541,436,80.59
111,公立,一般大學,0018,國立嘉義大學,學士班(日間),1881,1725,91.71
111,公立,一般大學,0018,國立嘉義大學,學士班(進修),489,392,80.16
111,公立,一般大學,0019,國立高雄大學,學士班(日間),1056,996,94.32
111,公立,一般大學,0019,國立高雄大學,學士班(進修),52,34,65.38
111,公立,一般大學,0020,國立東華大學,學士班(日間),1851,1743,94.17
111,公立,一般大學,0021,國立暨南國際大學,學士班(日間),1110,1063,95.77
111,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),1318,1269,96.28
111,公立,技專校院,0023,國立雲林科技大學,學士班(日間),1570,1518,96.69
111,公立,技專校院,0023,國立雲林科技大學,學士班(進修),72,63,87.50
111,公立,技專校院,0024,國立屏東科技大學,學士班(日間),1852,1724,93.09
111,公立,技專校院,0024,國立屏東科技大學,學士班(進修),367,313,85.29
111,公立,技專校院,0025,國立臺北科技大學,五專,26,25,96.15
111,公立,技專校院,0025,國立臺北科技大學,學士班(日間),1459,1402,96.09
111,公立,技專校院,0025,國立臺北科技大學,學士班(進修),314,306,97.45
111,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),368,348,94.57
111,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),497,472,94.97
111,公立,一般大學,0029,國立臺灣藝術大學,學士班(進修),506,483,95.45
111,公立,一般大學,0030,國立臺東大學,學士班(日間),955,871,91.20
111,公立,一般大學,0030,國立臺東大學,學士班(進修),157,133,84.71
111,公立,一般大學,0031,國立宜蘭大學,學士班(日間),1145,1075,93.89
111,公立,一般大學,0031,國立宜蘭大學,學士班(進修),97,79,81.44
111,公立,一般大學,0032,國立聯合大學,學士班(日間),1537,1431,93.10
