學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
113,公立,一般大學,0001,國立政治大學,學士班(日間),緬甸,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),印度尼西亞共和國,東協,13,2,11,4,2,2,9,0,9,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),日本,其他亞洲地區,18,3,15,15,2,13,3,1,2,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),大韓民國(南韓),其他亞洲地區,9,4,5,9,4,5,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),馬來西亞,東協,52,16,36,5,1,4,47,15,32,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),菲律賓共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),泰國,東協,14,4,10,12,4,8,2,0,2,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),越南社會主義共和國,東協,10,2,8,6,1,5,4,1,3,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),香港,港澳,22,9,13,0,0,0,0,0,0,22,9,13,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),澳門,港澳,20,7,13,0,0,0,0,0,0,20,7,13,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),蒙古國,其他亞洲地區,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),加拿大,北美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),海地共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),宏都拉斯共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),聖文森(及格瑞那丁),中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),阿根廷,中南美洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,學士班(日間),巴拉圭,中南美洲,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),緬甸,東協,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),印度,南亞,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),印度尼西亞共和國,東協,11,4,7,10,4,6,1,0,1,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),日本,其他亞洲地區,7,3,4,7,3,4,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),大韓民國(南韓),其他亞洲地區,9,3,6,9,3,6,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),馬來西亞,東協,20,7,13,11,4,7,9,3,6,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),菲律賓共和國,東協,6,2,4,4,1,3,2,1,1,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),新加坡共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),泰國,東協,14,6,8,12,6,6,2,0,2,0,0,0,0,0,0
113,公立,一般大學,0001,國立政治大學,碩士班(日間),土耳其共和國,其他亞洲地區,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0
