學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
112,公立,一般大學,0001,國立政治大學,學士班(日間),大陸地區,大陸地區,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
112,公立,一般大學,0001,國立政治大學,學士班(日間),日本,其他亞洲地區,61,15,46,48,11,37,13,4,9,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,學士班(日間),印度,南亞,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,學士班(日間),吐瓦魯,其他亞洲地區,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,學士班(日間),宏都拉斯共和國,中南美洲,8,2,6,8,2,6,0,0,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,學士班(日間),貝里斯,中南美洲,8,4,4,8,4,4,0,0,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,學士班(日間),委內瑞拉共和國,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,學士班(日間),阿根廷,中南美洲,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,學士班(日間),美國,北美洲,6,3,3,3,2,1,3,1,2,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,學士班(日間),香港,港澳,87,44,43,0,0,0,0,0,0,87,44,43,0,0,0
112,公立,一般大學,0001,國立政治大學,學士班(日間),挪威王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
112,公立,一般大學,0001,國立政治大學,學士班(日間),泰國,東協,47,8,39,35,6,29,12,2,10,0,0,0,0,0,0
