report_key,title_hint,page_title,note,year,export_url,source_file_name,saved_as,bytes
stud_1_1_student_department,學1-1,學1-1.正式學籍在學學生人數-以「系(所)」統計,正式學籍在學學生數，以系所統計，作為註冊與退學率分析的系級分母。,111,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatStudent/Export,學1-1.正式學籍在學學生人數-以「系(所)」統計.csv,stud_1_1_student_department_111.csv,1103447
stud_1_1_student_department,學1-1,學1-1.正式學籍在學學生人數-以「系(所)」統計,正式學籍在學學生數，以系所統計，作為註冊與退學率分析的系級分母。,112,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatStudent/Export,學1-1.正式學籍在學學生人數-以「系(所)」統計.csv,stud_1_1_student_department_112.csv,1090943
stud_1_1_student_department,學1-1,學1-1.正式學籍在學學生人數-以「系(所)」統計,正式學籍在學學生數，以系所統計，作為註冊與退學率分析的系級分母。,113,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatStudent/Export,學1-1.正式學籍在學學生人數-以「系(所)」統計.csv,stud_1_1_student_department_113.csv,1098263
stud_1_1_student_department,學1-1,學1-1.正式學籍在學學生人數-以「系(所)」統計,正式學籍在學學生數，以系所統計，作為註冊與退學率分析的系級分母。,114,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatStudent/Export,學1-1.正式學籍在學學生人數-以「系(所)」統計.csv,stud_1_1_student_department_114.csv,1096030
stud_1_2_student_school,學1-2,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,正式學籍在學學生數，以校(含學制班別)統計，作為校級分母。,111,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityStudent/Export,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計.csv,stud_1_2_student_school_111.csv,59578
stud_1_2_student_school,學1-2,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,正式學籍在學學生數，以校(含學制班別)統計，作為校級分母。,112,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityStudent/Export,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計.csv,stud_1_2_student_school_112.csv,58360
stud_1_2_student_school,學1-2,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,正式學籍在學學生數，以校(含學制班別)統計，作為校級分母。,113,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityStudent/Export,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計.csv,stud_1_2_student_school_113.csv,56133
stud_1_2_student_school,學1-2,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計,正式學籍在學學生數，以校(含學制班別)統計，作為校級分母。,114,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatUniversityStudent/Export,學1-2.正式學籍在學學生人數-以「校(含學制班別)」統計.csv,stud_1_2_student_school_114.csv,55706
stud_3_1_foreign_degree_department,學3-1,學3-1.境外學位生數及其在學比率-以「系(所)」統計,境外學位生數及其在學比率，以系所統計，可後續交叉觀察註冊與休退學風險。,111,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatOutlandStudent/Export,學3-1.境外學位生數及其在學比率-以「系(所)」統計.csv,stud_3_1_foreign_degree_department_111.csv,830028
stud_3_1_foreign_degree_department,學3-1,學3-1.境外學位生數及其在學比率-以「系(所)」統計,境外學位生數及其在學比率，以系所統計，可後續交叉觀察註冊與休退學風險。,112,https://udb.moe.edu.tw/udata/DetailReportList/%E5%AD%B8%E7%94%9F%E9%A1%9E/StatOutlandStudent/Export,學3-1.境外學位生數及其在學比率-以「系(所)」統計.csv,stud_3_1_foreign_degree_department_112.csv,829043
