學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
113,公立,一般大學,0001,國立政治大學,學士班(日間),男,3991,220,158,13,3,34,3,5,0,0,9,18,0,0,8,0,65,62,0,62
113,公立,一般大學,0001,國立政治大學,碩士班(日間),男,1904,354,263,19,1,3,2,65,0,13,19,6,75,1,21,0,38,91,0,91
113,公立,一般大學,0001,國立政治大學,碩士在職專班,男,902,297,216,4,0,0,0,122,0,40,1,1,25,0,10,0,13,81,0,81
113,公立,一般大學,0001,國立政治大學,博士班,男,482,161,121,11,3,0,0,35,0,18,0,4,27,0,14,0,9,40,0,40
113,公立,一般大學,0001,國立政治大學,學士班(日間),女,5810,201,155,29,1,31,2,1,0,0,0,35,0,0,9,0,47,46,0,46
113,公立,一般大學,0001,國立政治大學,碩士班(日間),女,2433,447,339,17,3,0,0,119,5,34,0,17,76,0,21,0,47,108,0,108
113,公立,一般大學,0001,國立政治大學,碩士在職專班,女,962,284,210,6,0,1,0,116,4,41,0,4,22,0,12,0,4,74,0,74
113,公立,一般大學,0001,國立政治大學,博士班,女,415,111,89,4,0,0,0,24,1,24,0,1,17,0,13,0,5,22,0,22
113,公立,一般大學,0002,國立清華大學,學士班(日間),男,5059,128,128,16,1,40,31,6,0,1,6,7,0,10,2,3,5,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),男,3513,207,207,14,2,11,10,47,0,4,11,10,73,6,9,2,8,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士在職專班,男,517,65,65,0,0,0,1,34,0,13,0,0,17,0,0,0,0,0,0,0
113,公立,一般大學,0002,國立清華大學,博士班,男,1158,151,151,14,2,2,15,41,0,17,2,7,29,0,9,1,12,0,0,0
113,公立,一般大學,0002,國立清華大學,學士班(日間),女,4248,104,104,20,1,24,14,4,0,1,0,22,0,8,3,5,2,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士班(日間),女,2373,271,271,21,5,9,12,58,4,21,0,12,100,5,9,8,7,0,0,0
113,公立,一般大學,0002,國立清華大學,碩士在職專班,女,898,165,165,12,0,1,2,44,6,51,0,1,41,0,4,3,0,0,0,0
113,公立,一般大學,0002,國立清華大學,博士班,女,503,97,97,6,2,0,7,16,6,9,0,4,20,1,9,1,16,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),男,9688,438,428,32,3,165,17,14,0,0,6,86,0,13,4,1,87,10,0,10
113,公立,一般大學,0003,國立臺灣大學,碩士班(日間),男,6893,795,795,51,14,16,4,103,0,10,20,47,234,10,25,13,248,0,0,0
113,公立,一般大學,0003,國立臺灣大學,碩士在職專班,男,970,246,246,11,1,0,0,133,0,16,0,2,57,0,12,0,14,0,0,0
113,公立,一般大學,0003,國立臺灣大學,博士班,男,2494,544,544,28,12,4,3,98,0,32,4,13,231,2,48,3,66,0,0,0
113,公立,一般大學,0003,國立臺灣大學,學士班(日間),女,7744,316,315,38,2,105,5,6,1,1,0,75,0,7,5,2,68,1,0,1
113,公立,一般大學,0003,國立臺灣大學,碩士班(日間),女,4754,621,621,60,13,9,2,84,3,24,0,43,188,3,26,3,163,0,0,0
113,公立,一般大學,0003,國立臺灣大學,碩士在職專班,女,659,160,160,12,0,0,0,68,4,16,0,4,31,0,11,0,14,0,0,0
113,公立,一般大學,0003,國立臺灣大學,博士班,女,1285,307,307,37,4,1,0,49,4,17,0,14,114,1,21,1,44,0,0,0
113,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),男,3899,167,163,5,2,77,5,17,0,1,3,29,0,9,13,2,0,4,0,4
113,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),男,1868,314,314,4,7,27,0,109,0,11,6,15,76,12,30,14,3,0,0,0
113,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,男,716,128,128,2,4,3,0,48,0,14,0,1,42,1,13,0,0,0,0,0
113,公立,一般大學,0004,國立臺灣師範大學,博士班,男,602,137,137,4,2,1,1,53,0,22,2,4,32,1,13,0,2,0,0,0
113,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),女,4688,168,168,8,0,67,6,15,3,2,0,36,0,16,8,6,1,0,0,0
113,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),女,2539,528,528,8,7,30,1,199,9,32,0,40,129,12,30,29,2,0,0,0
