學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
114,公立,一般大學,0001,國立政治大學,學士班(日間),9752,3899,5853
114,公立,一般大學,0001,國立政治大學,碩士班(日間),4241,1863,2378
114,公立,一般大學,0001,國立政治大學,碩士在職專班,1915,966,949
114,公立,一般大學,0001,國立政治大學,博士班,876,488,388
114,公立,一般大學,0002,國立清華大學,學士班(日間),9399,5085,4314
114,公立,一般大學,0002,國立清華大學,碩士班(日間),5928,3576,2352
114,公立,一般大學,0002,國立清華大學,碩士在職專班,1385,499,886
114,公立,一般大學,0002,國立清華大學,博士班,1681,1139,542
114,公立,一般大學,0003,國立臺灣大學,學士班(日間),17568,9790,7778
114,公立,一般大學,0003,國立臺灣大學,碩士班(日間),11814,7015,4799
114,公立,一般大學,0003,國立臺灣大學,碩士在職專班,1669,970,699
114,公立,一般大學,0003,國立臺灣大學,博士班,3890,2569,1321
114,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),8674,3903,4771
114,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),4493,1880,2613
114,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,2307,716,1591
114,公立,一般大學,0004,國立臺灣師範大學,博士班,1334,629,705
114,公立,一般大學,0005,國立成功大學,學士班(日間),12253,7445,4808
114,公立,一般大學,0005,國立成功大學,碩士班(日間),7634,4900,2734
114,公立,一般大學,0005,國立成功大學,碩士在職專班,1662,941,721
114,公立,一般大學,0005,國立成功大學,博士班,1936,1263,673
114,公立,一般大學,0006,國立中興大學,學士班(日間),8208,4588,3620
114,公立,一般大學,0006,國立中興大學,學士班(進修),741,311,430
114,公立,一般大學,0006,國立中興大學,碩士班(日間),4086,2393,1693
114,公立,一般大學,0006,國立中興大學,碩士在職專班,1789,1116,673
114,公立,一般大學,0006,國立中興大學,博士班,1075,693,382
114,公立,一般大學,0007,國立陽明交通大學,學士班(日間),8914,5696,3218
114,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),8874,5585,3289
114,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,2012,1241,771
114,公立,一般大學,0007,國立陽明交通大學,博士班,2721,1797,924
114,公立,一般大學,0008,國立中央大學,學士班(日間),6214,3834,2380
114,公立,一般大學,0008,國立中央大學,碩士班(日間),3996,2583,1413
114,公立,一般大學,0008,國立中央大學,碩士在職專班,1453,902,551
114,公立,一般大學,0008,國立中央大學,博士班,923,629,294
114,公立,一般大學,0009,國立中山大學,學士班(日間),5209,3118,2091
114,公立,一般大學,0009,國立中山大學,碩士班(日間),4103,2518,1585
114,公立,一般大學,0009,國立中山大學,碩士在職專班,964,484,480
114,公立,一般大學,0009,國立中山大學,博士班,928,581,347
114,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),6029,4025,2004
114,公立,一般大學,0012,國立臺灣海洋大學,學士班(進修),474,336,138
114,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),1596,1047,549
114,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,614,326,288
114,公立,一般大學,0012,國立臺灣海洋大學,博士班,356,238,118
114,公立,一般大學,0013,國立中正大學,學士班(日間),6451,3428,3023
114,公立,一般大學,0013,國立中正大學,碩士班(日間),2951,1730,1221
114,公立,一般大學,0013,國立中正大學,碩士在職專班,1420,614,806
114,公立,一般大學,0013,國立中正大學,博士班,575,369,206
114,公立,一般大學,0014,國立高雄師範大學,學士班(日間),3873,1843,2030
114,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),1566,577,989
114,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,1429,507,922
114,公立,一般大學,0014,國立高雄師範大學,博士班,442,212,230
114,公立,一般大學,0015,國立彰化師範大學,學士班(日間),5194,2772,2422
114,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),1792,918,874
114,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,1297,503,794
114,公立,一般大學,0015,國立彰化師範大學,博士班,452,258,194
114,公立,一般大學,0017,國立臺北大學,學士班(日間),6117,2728,3389
114,公立,一般大學,0017,國立臺北大學,學士班(進修),1577,689,888
114,公立,一般大學,0017,國立臺北大學,碩士班(日間),1514,765,749
114,公立,一般大學,0017,國立臺北大學,碩士在職專班,616,284,332
114,公立,一般大學,0017,國立臺北大學,博士班,215,145,70
114,公立,一般大學,0018,國立嘉義大學,學士班(日間),7440,3745,3695
114,公立,一般大學,0018,國立嘉義大學,學士班(進修),1410,899,511
114,公立,一般大學,0018,國立嘉義大學,碩士班(日間),1143,531,612
114,公立,一般大學,0018,國立嘉義大學,碩士在職專班,926,348,578
114,公立,一般大學,0018,國立嘉義大學,博士班,184,110,74
114,公立,一般大學,0019,國立高雄大學,學士班(日間),4634,2648,1986
114,公立,一般大學,0019,國立高雄大學,學士班(進修),135,81,54
114,公立,一般大學,0019,國立高雄大學,碩士班(日間),678,414,264
114,公立,一般大學,0019,國立高雄大學,碩士在職專班,581,334,247
114,公立,一般大學,0019,國立高雄大學,博士班,27,22,5
114,公立,一般大學,0020,國立東華大學,學士班(日間),7672,3880,3792
114,公立,一般大學,0020,國立東華大學,碩士班(日間),1439,712,727
114,公立,一般大學,0020,國立東華大學,碩士在職專班,515,176,339
114,公立,一般大學,0020,國立東華大學,博士班,409,218,191
114,公立,一般大學,0021,國立暨南國際大學,學士班(日間),4834,2362,2472
114,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),887,405,482
114,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,433,140,293
114,公立,一般大學,0021,國立暨南國際大學,博士班,358,179,179
114,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),5838,3969,1869
114,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),4451,3012,1439
114,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,829,516,313
114,公立,技專校院,0022,國立臺灣科技大學,博士班,1062,726,336
114,公立,技專校院,0023,國立雲林科技大學,學士班(日間),6796,4090,2706
114,公立,技專校院,0023,國立雲林科技大學,學士班(進修),228,116,112
114,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),2312,1481,831
114,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,683,401,282
114,公立,技專校院,0023,國立雲林科技大學,博士班,431,260,171
114,公立,技專校院,0024,國立屏東科技大學,學士班(日間),7206,4049,3157
114,公立,技專校院,0024,國立屏東科技大學,學士班(進修),954,701,253
114,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),1063,595,468
114,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,230,134,96
114,公立,技專校院,0024,國立屏東科技大學,博士班,254,169,85
114,公立,技專校院,0025,國立臺北科技大學,五專,160,133,27
114,公立,技專校院,0025,國立臺北科技大學,學士班(日間),6389,4260,2129
114,公立,技專校院,0025,國立臺北科技大學,學士班(進修),731,632,99
114,公立,技專校院,0025,國立臺北科技大學,碩士班(日間),3602,2532,1070
114,公立,技專校院,0025,國立臺北科技大學,碩士在職專班,1610,1104,506
114,公立,技專校院,0025,國立臺北科技大學,博士班,779,555,224
114,公立,技專校院,0025,國立臺北科技大學,附設進院,5,5,0
114,公立,一般大學,0028,國立臺北藝術大學,七年一貫,81,36,45
114,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),1769,620,1149
114,公立,一般大學,0028,國立臺北藝術大學,碩士班(日間),999,381,618
114,公立,一般大學,0028,國立臺北藝術大學,碩士在職專班,194,55,139
114,公立,一般大學,0028,國立臺北藝術大學,博士班,137,61,76
114,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),2456,694,1762
114,公立,一般大學,0029,國立臺灣藝術大學,學士班(進修),1775,542,1233
114,公立,一般大學,0029,國立臺灣藝術大學,碩士班(日間),776,282,494
114,公立,一般大學,0029,國立臺灣藝術大學,碩士在職專班,372,141,231
114,公立,一般大學,0029,國立臺灣藝術大學,博士班,144,66,78
114,公立,一般大學,0030,國立臺東大學,學士班(日間),3490,1838,1652
114,公立,一般大學,0030,國立臺東大學,學士班(進修),324,122,202
114,公立,一般大學,0030,國立臺東大學,碩士班(日間),336,140,196
114,公立,一般大學,0030,國立臺東大學,碩士在職專班,710,163,547
114,公立,一般大學,0030,國立臺東大學,博士班,60,20,40
114,公立,一般大學,0031,國立宜蘭大學,學士班(日間),4256,2740,1516
114,公立,一般大學,0031,國立宜蘭大學,學士班(進修),341,222,119
114,公立,一般大學,0031,國立宜蘭大學,碩士班(日間),546,361,185
114,公立,一般大學,0031,國立宜蘭大學,碩士在職專班,162,113,49
114,公立,一般大學,0031,國立宜蘭大學,博士班,13,7,6
114,公立,一般大學,0032,國立聯合大學,學士班(日間),5922,4175,1747
114,公立,一般大學,0032,國立聯合大學,學士班(進修),909,705,204
114,公立,一般大學,0032,國立聯合大學,碩士班(日間),498,351,147
114,公立,一般大學,0032,國立聯合大學,碩士在職專班,60,34,26
114,公立,一般大學,0032,國立聯合大學,博士班,29,23,6
114,公立,技專校院,0033,國立虎尾科技大學,二專(日間),74,71,3
114,公立,技專校院,0033,國立虎尾科技大學,五專,406,350,56
114,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),7799,5997,1802
114,公立,技專校院,0033,國立虎尾科技大學,學士班(進修),2120,1701,419
114,公立,技專校院,0033,國立虎尾科技大學,碩士班(日間),1343,1102,241
114,公立,技專校院,0033,國立虎尾科技大學,碩士在職專班,187,117,70
114,公立,技專校院,0033,國立虎尾科技大學,博士班,74,58,16
114,公立,一般大學,0035,國立臺南藝術大學,七年一貫,159,69,90
114,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),780,299,481
114,公立,一般大學,0035,國立臺南藝術大學,碩士班(日間),565,191,374
114,公立,一般大學,0035,國立臺南藝術大學,碩士在職專班,51,9,42
114,公立,一般大學,0035,國立臺南藝術大學,博士班,83,34,49
114,公立,一般大學,0036,國立臺南大學,學士班(日間),3989,1755,2234
114,公立,一般大學,0036,國立臺南大學,學士班(進修),151,99,52
114,公立,一般大學,0036,國立臺南大學,碩士班(日間),1062,435,627
114,公立,一般大學,0036,國立臺南大學,碩士在職專班,623,197,426
114,公立,一般大學,0036,國立臺南大學,博士班,151,50,101
114,公立,一般大學,0037,國立臺北教育大學,學士班(日間),3287,1071,2216
114,公立,一般大學,0037,國立臺北教育大學,碩士班(日間),1453,418,1035
114,公立,一般大學,0037,國立臺北教育大學,碩士在職專班,1140,280,860
114,公立,一般大學,0037,國立臺北教育大學,博士班,157,62,95
114,公立,一般大學,0039,國立臺中教育大學,學士班(日間),3294,1124,2170
114,公立,一般大學,0039,國立臺中教育大學,碩士班(日間),980,289,691
114,公立,一般大學,0039,國立臺中教育大學,碩士在職專班,796,195,601
114,公立,一般大學,0039,國立臺中教育大學,博士班,108,37,71
114,公立,技專校院,0042,國立澎湖科技大學,五專,99,94,5
114,公立,技專校院,0042,國立澎湖科技大學,學士班(日間),1833,1150,683
114,公立,技專校院,0042,國立澎湖科技大學,學士班(進修),168,91,77
114,公立,技專校院,0042,國立澎湖科技大學,碩士班(日間),65,34,31
114,公立,技專校院,0042,國立澎湖科技大學,碩士在職專班,37,22,15
114,公立,技專校院,0043,國立勤益科技大學,二專(進修),197,147,50
114,公立,技專校院,0043,國立勤益科技大學,學士班(日間),7590,5307,2283
114,公立,技專校院,0043,國立勤益科技大學,學士班(進修),3798,3247,551
114,公立,技專校院,0043,國立勤益科技大學,碩士班(日間),744,538,206
114,公立,技專校院,0043,國立勤益科技大學,碩士在職專班,273,224,49
114,公立,技專校院,0043,國立勤益科技大學,博士班,65,55,10
114,公立,一般大學,0044,國立體育大學,學士班(日間),1961,1168,793
114,公立,一般大學,0044,國立體育大學,學士班(進修),92,57,35
114,公立,一般大學,0044,國立體育大學,碩士班(日間),345,184,161
114,公立,一般大學,0044,國立體育大學,碩士在職專班,237,132,105
114,公立,一般大學,0044,國立體育大學,博士班,125,84,41
114,公立,技專校院,0046,國立臺北護理健康大學,學士班(日間),3809,827,2982
114,公立,技專校院,0046,國立臺北護理健康大學,學士班(進修),597,55,542
114,公立,技專校院,0046,國立臺北護理健康大學,碩士班(日間),552,109,443
114,公立,技專校院,0046,國立臺北護理健康大學,碩士在職專班,198,30,168
114,公立,技專校院,0046,國立臺北護理健康大學,博士班,82,11,71
114,公立,技專校院,0047,國立高雄餐旅大學,五專,252,94,158
114,公立,技專校院,0047,國立高雄餐旅大學,學士班(日間),2745,966,1779
114,公立,技專校院,0047,國立高雄餐旅大學,學士班(進修),759,297,462
114,公立,技專校院,0047,國立高雄餐旅大學,碩士班(日間),149,73,76
