學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
112,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),34,11,23,16.04
112,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),9,2,7,21.95
112,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,14,6,8,13.33
112,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),3,1,2,6.25
112,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),8,0,8,18.60
112,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),8,7,1,30.77
112,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,8,6,2,30.77
112,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),13,7,6,7.39
112,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),8,5,3,14.81
112,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,5,4,1,19.23
112,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),5,3,2,8.20
112,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,1,1,0,5.56
112,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),7,3,4,3.76
112,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),1,0,1,5.26
112,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,3,1,2,17.65
112,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),19,15,4,9.84
112,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),8,6,2,17.78
112,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,9,6,3,37.50
112,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),21,3,18,7.50
