學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,在學學生數小計,在學學生數男,在學學生數女
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),239,69,170
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,95,48,47
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),46,11,35
106,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),47,13,34
106,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,73,26,47
106,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),40,11,29
106,公立,一般大學,0001,國立政治大學,01131002,華語文教學博士學位學程,博士班,19,1,18
106,公立,一般大學,0001,國立政治大學,01131002,華語文教學碩士學位學程,碩士班(日間),57,12,45
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,34,18,16
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),37,17,20
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),173,115,58
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,36,21,15
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),62,45,17
106,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,19,9,10
106,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),56,31,25
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),181,71,110
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,23,15,8
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,碩士班(日間),31,11,20
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),188,97,91
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,27,19,8
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),49,26,23
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),317,94,223
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,22,7,15
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),65,18,47
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,碩士在職專班,45,6,39
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),187,44,143
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),26,9,17
106,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),175,59,116
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),152,23,129
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),21,3,18
106,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),131,36,95
106,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),292,66,226
106,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),245,71,174
106,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,碩士班(日間),8,3,5
106,公立,一般大學,0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,學士班(日間),16,4,12
106,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,博士班,14,3,11
106,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),38,19,19
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),360,103,257
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,70,37,33
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),105,35,70
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,碩士在職專班,76,13,63
106,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,博士班,7,3,4
106,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),31,13,18
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),421,222,199
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,博士班,16,13,3
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),77,54,23
106,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),29,14,15
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),218,99,119
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,28,24,4
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),74,43,31
