學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間/進修,學制班別,當學年度各學制總量內核定新生招生名額(A),當學年度各學制新生保留入學資格人數(B),當學年度各學制總量內新生招生核定名額之實際註冊人數(C),當學年度各學制境外(新生)學生實際註冊人數(D),當學年度各學制新生註冊率(%)E=〔(C+D)/(A-B+D)〕*100％,當學年度各學制招生特色說明
106,公立,一般大學,0001,國立政治大學,日間,學士班(含四技),2073,1,2008,...,96.91,本校學士班計34學系，1個學士學位學程，領域包括文、理、法、商、傳播、外國語文、國際事務、社會科學及教育等九大學院。招收高中畢業或具同等學力資格學生，修業年限均為四年。招生管道有考試分發入學、大學繁星推薦、個人申請及四技二專甄選入學、運動績優單獨招生、外國學生申請入學、僑港澳生單獨招生及轉學考試等。本校為國內最具人文社會科學特色之綜合型大學，強調多元探索、充實基礎課程及培養國際視野，辦學理念深獲社會各界肯定。本校每學期經由校際選課、校際交換、網路教學、雙主修、輔系及跨領域學分學程等措施，提供學生多元化的學習機會；並針對教學需求採大班教學或小班研討，兼顧學習品質；此外，本校亦提供各種國際交換、國際志工、夏日學院等與不同國家的學生交流學習機會。透過跨領域學習與整合能力教育、人文素養培育、國際視野擴展及專業能力提升，期許每位政大畢業生成為具有「領導思想、啟發社會、影響世界」的新世紀領導人。
106,公立,一般大學,0001,國立政治大學,日間,博士班,166,3,108,...,66.26,本校博士班計39學系所(含4個博士學位學程)，專業領域橫跨文、理、法、商、傳播、外國語文、國際事務、社會科學及教育等。近幾年因整體就業環境影響，導致報考博士班的人數逐年下降。為減緩博士班招生不佳的情況，吸引優秀且具研究及學術發展潛力之博士班新生入學就讀，延續校內研究能量，本校於105學年度設立「卓政博士班獎助學金」，各系所亦提供優渥獎助學金，以鼓勵學生報考。本校各學系博士班研究風氣良好，學生除能持續累積專業學識，並與指導教授討論切磋，促進學術研究的推展外，本校亦積極鼓勵博士生與企業的產學合作，以期學識與實務密切接合。本校活躍於國際學術舞台，無論是學術表現或教學及研究成果， 在世界上均獲得極高的評價。未來將持續以國際一流的人文學術殿堂方向前進，培養具「領導思想、啟發社會、影響世界」的新世紀領導人。
106,公立,一般大學,0001,國立政治大學,日間,碩士班,1275,22,1170,...,93.38,本校碩士班計55學系所(含12個碩士學位學程)，專業領域橫跨文、理、法、商、傳播、外國語文、國際事務、社會科學及教育等。本校向來為國內人文社會科學學術重鎮，國際化程度亦相當高，擁有堅強的國內外師資陣容、豐沛且多元的教學資源及卓越豐富的學術研究成果。此外，本校亦積極推展研究能量，除在9大學院等專業領域皆設有研究中心外，亦與台北市立聯合醫院及國防醫學院建立教學與研究的合作關係，提供基礎研究與醫療界的對話與交流。本校各學系碩士班研究風氣良好，學生除透過專業學識的學習，並與指導教授及同儕間互相討論切磋、腦力激盪，促進學術研究的推展外，本校亦強調理論與實務的結合，積極鼓勵碩士生將所學理論應用在產業實習或實務上，提前做好未來就業準備。此外，本校無論是在學術表現或教學及研究成果，皆致力於國際化視野的培養，期許能夠培養出具備國際觀的專業領導與研究人才。
106,公立,一般大學,0001,國立政治大學,在職,碩士班,596,4,567,...,95.78,本校碩士在職專班計12學系所，專業領域橫跨文、理、法、商、傳播、外國語文、國際事務、社會科學及教育等，提供在職人士專業進修的機會。為培育兼具理論與實務的人才，本校各系所規劃以專業理論課程為導向，期以協助產業界培育各領域之專業研究人才，將所學知識應用在產業實務上，將來亦可配合產業與社會脈動調整專業領域之研究方向，同時結合各方業界校友的資源及人脈，培訓並育成更多創意、創新、創業的專業人才。
106,公立,一般大學,0002,國立清華大學,日間,學士班(含四技),2035,2,1946,...,95.72,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，申請金額不限，可以個人狀況及計畫實質內容核定金額。 二、本校致力開發多種跨領域學習課程，除教育學程外，另設29個跨院系學分學程，提供更為多元化及客制化學習機會。在課業之餘，校園內尚有文藝、音樂、體育、藝術、社會服務等社團，學生可培養多元興趣。 三、本校在多項學術指標：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛大學生等評比上均名列前茅，為國內頂尖學府。2015年英國QS世界大學排名，本校躍升至155名，較去年又進步12名，其排名各項指標表現為全國數一數二之成績。 四、大一新生均可住宿，校園景觀優美，人稱水木清華，全國第一。五、本校提供新生各管道入學之低收、中低收及特殊境遇家庭子女「旭日獎學金」，入學後得依本校「旭日獎學金施行要點」提出申請，經旭日獎學金委員會審議通過後核發，獎學金每年申請一次，最多四年。
106,公立,一般大學,0002,國立清華大學,日間,博士班,240,2,195,...,81.93,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，兩者申請皆金額不限，申請不需成績優異、不限申請次數。還願獎學金依據實際需求提出申請，讓學生安心完成學業；逐夢獎學金為鼓勵學生勇於追尋並實現夢想，所提計畫亦不限於從事學術研究。 二、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅，為國內頂尖學府。2015年英國QS世界大學排名，本校躍升至155名，較去年又進步12名，其排名各項指標表現為全國數一數二之成績。 三、本校致力推動全球化，目前本校簽有學術合作合約之大學／學術機構共計有224所，包含亞洲137所、美洲29所、歐洲50所、大洋洲4所及非洲4所。在雙聯學位部分，本校有與瑞典林學平大學、美國凱斯西儲大學、法國n+i、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。
106,公立,一般大學,0002,國立清華大學,日間,碩士班,1928,46,1769,...,94.00,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，兩者申請皆金額不限，申請不需成績優異、不限申請次數。還願獎學金依據實際需求提出申請，讓學生安心完成學業；逐夢獎學金為鼓勵學生勇於追尋並實現夢想，所提計畫亦不限於從事學術研究。 二、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅，為國內頂尖學府。2015年英國QS世界大學排名，本校躍升至155名，較去年又進步12名，其排名各項指標表現為全國數一數二之成績。 三、本校致力推動全球化，目前本校簽有學術合作合約之大學／學術機構共計有224所，包含亞洲137所、美洲29所、歐洲50所、大洋洲4所及非洲4所。在雙聯學位部分，本校有與瑞典林學平大學、美國凱斯西儲大學、法國n+i、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。
106,公立,一般大學,0002,國立清華大學,在職,碩士班,378,5,370,...,99.20,一、本校設有各類獎學金，特色獎學金如：還願獎學金、逐夢獎學金，兩者申請皆金額不限，申請不需成績優異、不限申請次數。還願獎學金依據實際需求提出申請，讓學生安心完成學業；逐夢獎學金為鼓勵學生勇於追尋並實現夢想，所提計畫亦不限於從事學術研究。 二、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅，為國內頂尖學府。2015年英國QS世界大學排名，本校躍升至155名，較去年又進步12名，其排名各項指標表現為全國數一數二之成績。 三、本校致力推動全球化，目前本校簽有學術合作合約之大學／學術機構共計有224所，包含亞洲137所、美洲29所、歐洲50所、大洋洲4所及非洲4所。在雙聯學位部分，本校有與瑞典林學平大學、美國凱斯西儲大學、法國n+i、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。
106,公立,一般大學,0003,國立臺灣大學,日間,學士班(含四技),3459,0,3323,...,96.07,"本校目前已有11個學院，以及3個專業學院（牙醫、獸醫、藥學），共54學系、126個研究所（含18個碩、博士學位學程），另設有30餘個各學術領域之國家級或校級研究中心，是臺灣規模最大的綜合性大學。學生總人數現今已達33,000多人，其中大學部近18,000人，研究生15,000餘人，比例接近一比一，已經成功轉型為研究型大學。 各學院提供完整的知識地圖、豐富的圖書資源、先進的科技設備、暢通的學術鏈結，結合優美的校園環境、藝文的校園氣氛，共同形成具有吸引力的教學研究環境。 本校不僅提供豐富多元的學術資源與設施，更鼓勵學生開拓視野、多元學習；在校內加強通識教育，在校際拓展姊妹校網絡，並加強建構雙語教學環境。本校除了展現卓越的學術研究成果，也努力改善教育評鑑制度，注重教學與學習的成效，務使學生能在最佳的環境學習成長。"
106,公立,一般大學,0003,國立臺灣大學,日間,博士班,691,2,503,...,73.00,"本校目前已有11個學院，以及3個專業學院（牙醫、獸醫、藥學），共54學系、126個研究所（含18個碩、博士學位學程），另設有30餘個各學術領域之國家級或校級研究中心，是臺灣規模最大的綜合性大學。學生總人數現今已達33,000多人，其中大學部近18,000人，研究生15,000餘人，比例接近一比一，已經成功轉型為研究型大學。 各學院提供完整的知識地圖、豐富的圖書資源、先進的科技設備、暢通的學術鏈結，結合優美的校園環境、藝文的校園氣氛，共同形成具有吸引力的教學研究環境。 本校不僅提供豐富多元的學術資源與設施，更鼓勵學生開拓視野、多元學習；在校內加強通識教育，在校際拓展姊妹校網絡，並加強建構雙語教學環境。本校除了展現卓越的學術研究成果，也努力改善教育評鑑制度，注重教學與學習的成效，務使學生能在最佳的環境學習成長。  目前共開設100個博士班。"
