學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
105,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),男,84,3,1,0,0,0,1,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),男,13,3,0,0,0,0,2,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,男,59,16,0,0,0,0,6,0,3,...,...,...,...,...,...,...,7
105,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),女,174,12,1,0,0,4,1,0,0,...,...,...,...,...,...,...,6
105,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),女,35,7,0,0,0,1,4,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,女,41,23,0,0,0,0,5,0,14,...,...,...,...,...,...,...,4
105,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),男,15,1,0,0,0,0,0,0,0,...,...,...,...,...,...,...,1
105,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),女,37,5,0,0,0,0,1,0,1,...,...,...,...,...,...,...,3
105,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,男,32,4,0,0,1,0,1,0,0,...,...,...,...,...,...,...,2
105,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,碩士在職專班,女,50,15,0,0,0,1,5,0,2,...,...,...,...,...,...,...,7
105,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),男,7,1,0,0,0,0,0,0,0,...,...,...,...,...,...,...,1
