學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
105,公立,一般大學,0001,國立政治大學,學士班(日間),男,3912,148,6,0,2,60,8,0,1,...,...,...,...,...,...,...,71
105,公立,一般大學,0001,國立政治大學,碩士班(日間),男,1808,397,6,6,43,61,91,0,14,...,...,...,...,...,...,...,176
105,公立,一般大學,0001,國立政治大學,碩士在職專班,男,882,288,5,0,45,13,138,0,27,...,...,...,...,...,...,...,60
105,公立,一般大學,0001,國立政治大學,博士班,男,605,203,3,3,21,24,51,0,37,...,...,...,...,...,...,...,64
105,公立,一般大學,0001,國立政治大學,學士班(日間),女,5799,164,18,1,3,55,8,0,2,...,...,...,...,...,...,...,77
105,公立,一般大學,0001,國立政治大學,碩士班(日間),女,2154,455,13,8,50,74,140,5,41,...,...,...,...,...,...,...,124
105,公立,一般大學,0001,國立政治大學,碩士在職專班,女,836,276,13,1,47,7,86,9,58,...,...,...,...,...,...,...,55
105,公立,一般大學,0001,國立政治大學,博士班,女,376,156,9,0,17,9,35,4,41,...,...,...,...,...,...,...,41
105,公立,一般大學,0002,國立清華大學,學士班(日間),男,4843,191,11,9,28,114,4,0,0,...,...,...,...,...,...,...,25
105,公立,一般大學,0002,國立清華大學,碩士班(日間),男,3001,233,14,19,29,49,50,0,2,...,...,...,...,...,...,...,70
105,公立,一般大學,0002,國立清華大學,碩士在職專班,男,357,48,0,5,0,3,31,0,3,...,...,...,...,...,...,...,6
105,公立,一般大學,0002,國立清華大學,博士班,男,1306,269,16,22,47,45,72,0,32,...,...,...,...,...,...,...,35
105,公立,一般大學,0002,國立清華大學,學士班(日間),女,4163,108,12,3,10,51,7,1,2,...,...,...,...,...,...,...,22
105,公立,一般大學,0002,國立清華大學,碩士班(日間),女,1815,240,9,19,45,33,66,6,31,...,...,...,...,...,...,...,31
105,公立,一般大學,0002,國立清華大學,碩士在職專班,女,632,71,3,5,7,1,24,4,17,...,...,...,...,...,...,...,10
