學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-學生自請休學原因-小計,於學年底處於休學狀態之人數-學生自請休學原因-傷病,於學年底處於休學狀態之人數-學生自請休學原因-經濟困難,於學年底處於休學狀態之人數-學生自請休學原因-就讀學校、科系不符期待,於學年底處於休學狀態之人數-學生自請休學原因-學業成績不佳,於學年底處於休學狀態之人數-學生自請休學原因-工作,於學年底處於休學狀態之人數-學生自請休學原因-懷孕,於學年底處於休學狀態之人數-學生自請休學原因-育嬰,於學年底處於休學狀態之人數-學生自請休學原因-兵役,於學年底處於休學狀態之人數-學生自請休學原因-出國,於學年底處於休學狀態之人數-學生自請休學原因-論文撰寫,於學年底處於休學狀態之人數-學生自請休學原因-就學環境,於學年底處於休學狀態之人數-學生自請休學原因-家務或家人照顧,於學年底處於休學狀態之人數-學生自請休學原因-考試訓練,於學年底處於休學狀態之人數-學生自請休學原因-其他,於學年底處於休學狀態之人數-學校勒令休學原因-小計,於學年底處於休學狀態之人數-學校勒令休學原因-違反校規,於學年底處於休學狀態之人數-學校勒令休學原因-其他
111,公立,一般大學,0001,國立政治大學,碩士班(日間),女,2296,473,340,29,6,0,0,82,6,34,0,10,72,1,25,0,75,133,0,133
111,公立,一般大學,0001,國立政治大學,碩士在職專班,女,949,310,232,12,0,0,0,114,3,56,0,1,16,0,13,0,17,78,0,78
111,公立,一般大學,0001,國立政治大學,博士班,男,530,197,150,10,2,0,0,31,0,31,4,2,33,0,10,0,27,47,0,47
111,公立,一般大學,0001,國立政治大學,碩士班(日間),男,1907,400,288,9,5,0,0,62,0,17,15,6,58,0,25,0,91,112,0,112
111,公立,一般大學,0001,國立政治大學,學士班(日間),女,5756,216,158,30,3,23,2,2,0,0,0,26,0,0,12,0,60,58,0,58
111,公立,一般大學,0001,國立政治大學,博士班,女,392,141,99,8,2,0,0,20,6,20,0,5,13,0,10,0,15,42,0,42
111,公立,一般大學,0001,國立政治大學,學士班(日間),男,3976,194,127,9,2,17,0,0,0,0,9,22,0,0,6,0,62,67,0,67
111,公立,一般大學,0001,國立政治大學,碩士在職專班,男,921,352,265,7,0,0,0,153,0,52,0,1,16,0,18,0,18,87,0,87
111,公立,一般大學,0002,國立清華大學,碩士在職專班,女,876,177,177,15,0,0,4,46,11,49,0,2,36,2,8,2,2,0,0,0
111,公立,一般大學,0002,國立清華大學,學士班(日間),男,4958,216,216,12,1,90,32,11,0,0,7,19,0,27,9,4,4,0,0,0
111,公立,一般大學,0002,國立清華大學,博士班,男,1169,181,181,12,8,3,8,54,0,17,3,4,43,1,9,2,17,0,0,0
111,公立,一般大學,0002,國立清華大學,學士班(日間),女,4161,156,156,24,2,55,12,5,0,0,0,40,0,7,8,1,2,0,0,0
111,公立,一般大學,0002,國立清華大學,博士班,女,500,102,102,6,0,1,5,30,3,12,0,3,20,1,6,0,15,0,0,0
111,公立,一般大學,0002,國立清華大學,碩士班(日間),女,2308,313,313,31,5,10,14,91,3,27,0,22,78,5,7,10,10,0,0,0
111,公立,一般大學,0002,國立清華大學,碩士班(日間),男,3551,242,242,13,9,19,14,61,0,4,16,11,63,10,9,3,10,0,0,0
111,公立,一般大學,0002,國立清華大學,碩士在職專班,男,511,59,59,1,1,0,1,32,0,8,1,0,9,0,4,0,2,0,0,0
111,公立,一般大學,0003,國立臺灣大學,學士班(日間),女,7560,305,301,34,2,99,8,11,0,4,0,80,0,6,1,4,52,4,0,4
111,公立,一般大學,0003,國立臺灣大學,博士班,女,1185,328,328,33,8,0,0,50,3,37,0,3,121,1,7,0,65,0,0,0
111,公立,一般大學,0003,國立臺灣大學,學士班(日間),男,9514,472,465,31,9,187,23,15,0,1,6,63,0,15,5,3,107,7,0,7
111,公立,一般大學,0003,國立臺灣大學,碩士在職專班,男,1003,210,210,8,0,0,0,110,0,13,0,6,41,0,2,0,30,0,0,0
111,公立,一般大學,0003,國立臺灣大學,碩士班(日間),女,4445,632,632,48,20,6,1,114,5,24,0,37,172,6,11,6,182,0,0,0
111,公立,一般大學,0003,國立臺灣大學,碩士在職專班,女,620,147,147,13,0,1,0,59,4,8,0,3,41,0,2,0,16,0,0,0
111,公立,一般大學,0003,國立臺灣大學,博士班,男,2444,638,638,34,19,1,2,106,0,44,4,31,248,0,21,1,127,0,0,0
111,公立,一般大學,0003,國立臺灣大學,碩士班(日間),男,6651,857,857,65,24,30,1,138,0,13,14,62,178,6,14,11,301,0,0,0
111,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),女,2457,528,528,8,9,19,0,173,6,45,0,23,159,11,47,25,3,0,0,0
111,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,女,1532,329,329,6,7,4,0,94,19,61,0,3,96,1,38,0,0,0,0,0
111,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),男,3810,143,138,1,5,50,3,18,0,0,2,22,0,15,17,0,5,5,0,5
111,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,男,650,116,116,0,2,1,0,49,0,13,1,0,40,0,9,0,1,0,0,0
111,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),女,4584,138,137,8,2,46,2,7,0,3,0,42,1,11,9,3,3,1,0,1
111,公立,一般大學,0004,國立臺灣師範大學,博士班,女,694,229,229,4,6,1,0,70,14,46,0,8,50,1,24,4,1,0,0,0
111,公立,一般大學,0004,國立臺灣師範大學,博士班,男,632,186,186,1,8,1,0,85,0,21,3,3,40,2,21,1,0,0,0,0
111,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),男,1903,367,367,7,15,23,0,123,0,6,10,10,105,13,43,11,1,0,0,0
111,公立,一般大學,0005,國立成功大學,學士班(日間),女,4604,189,187,22,0,133,2,2,1,1,0,8,0,6,3,7,2,2,0,2
111,公立,一般大學,0005,國立成功大學,博士班,女,626,122,121,6,5,19,5,17,7,24,0,0,18,1,5,2,12,1,0,1
111,公立,一般大學,0005,國立成功大學,學士班(日間),男,7406,295,292,24,4,187,23,5,0,0,7,2,0,9,9,12,10,3,0,3
111,公立,一般大學,0005,國立成功大學,碩士在職專班,男,932,180,178,6,0,10,3,94,0,26,0,0,20,1,14,3,1,2,0,2
111,公立,一般大學,0005,國立成功大學,碩士班(日間),女,2649,245,245,17,11,74,12,58,3,8,0,0,29,10,17,3,3,0,0,0
111,公立,一般大學,0005,國立成功大學,碩士在職專班,女,601,127,126,10,0,17,2,38,5,20,0,0,14,0,18,0,2,1,0,1
111,公立,一般大學,0005,國立成功大學,博士班,男,1231,244,241,5,12,30,16,57,0,26,13,1,37,2,20,3,19,3,0,3
111,公立,一般大學,0005,國立成功大學,碩士班(日間),男,4776,305,300,18,10,128,19,35,0,1,11,0,31,12,19,6,10,5,0,5
111,公立,一般大學,0006,國立中興大學,學士班(日間),女,3558,131,131,10,6,52,2,1,0,1,0,27,0,4,6,0,22,0,0,0
111,公立,一般大學,0006,國立中興大學,碩士班(日間),女,1498,181,181,20,6,4,2,38,1,6,0,1,34,6,11,10,42,0,0,0
111,公立,一般大學,0006,國立中興大學,碩士在職專班,女,619,119,119,10,0,0,0,35,4,21,0,1,25,0,9,3,11,0,0,0
111,公立,一般大學,0006,國立中興大學,學士班(日間),男,4643,193,193,17,1,79,16,7,0,0,0,19,0,8,6,4,36,0,0,0
111,公立,一般大學,0006,國立中興大學,學士班(進修),男,399,33,33,2,1,3,1,11,0,1,1,1,0,3,5,1,3,0,0,0
111,公立,一般大學,0006,國立中興大學,碩士在職專班,男,1114,261,261,8,3,1,0,106,0,37,0,5,62,0,18,2,19,0,0,0
