學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
105,1,公立,一般大學,0001,國立政治大學,學士班(日間),男,3912,53,6,0,12,33,0,0,0,0,...,...,2
105,1,公立,一般大學,0001,國立政治大學,碩士班(日間),男,1808,71,5,0,15,49,0,0,0,0,...,...,2
105,1,公立,一般大學,0001,國立政治大學,碩士在職專班,男,882,24,0,0,3,20,0,0,0,0,...,...,1
105,1,公立,一般大學,0001,國立政治大學,博士班,男,605,30,4,0,5,21,0,0,0,0,...,...,0
105,1,公立,一般大學,0001,國立政治大學,學士班(日間),女,5799,58,2,0,24,30,0,0,0,0,...,...,2
105,1,公立,一般大學,0001,國立政治大學,碩士班(日間),女,2154,54,4,0,16,34,0,0,0,0,...,...,0
105,1,公立,一般大學,0001,國立政治大學,碩士在職專班,女,836,30,1,0,4,24,0,0,0,0,...,...,1
105,1,公立,一般大學,0001,國立政治大學,博士班,女,376,11,0,0,1,9,0,0,0,0,...,...,1
105,1,公立,一般大學,0002,國立清華大學,學士班(日間),男,4843,114,18,0,31,47,0,0,1,1,...,...,3
105,1,公立,一般大學,0002,國立清華大學,碩士班(日間),男,3001,48,6,0,7,16,0,0,0,5,...,...,2
105,1,公立,一般大學,0002,國立清華大學,碩士在職專班,男,357,10,1,0,0,3,0,0,0,0,...,...,2
105,1,公立,一般大學,0002,國立清華大學,博士班,男,1306,52,6,0,6,21,0,0,0,3,...,...,0
105,1,公立,一般大學,0002,國立清華大學,學士班(日間),女,4163,78,2,0,37,26,0,0,0,0,...,...,4
105,1,公立,一般大學,0002,國立清華大學,碩士班(日間),女,1815,58,5,0,3,25,0,0,0,9,...,...,6
105,1,公立,一般大學,0002,國立清華大學,碩士在職專班,女,632,13,4,0,1,2,0,0,0,1,...,...,3
105,1,公立,一般大學,0002,國立清華大學,博士班,女,381,11,0,0,1,6,0,0,0,0,...,...,0
105,1,公立,一般大學,0003,國立臺灣大學,學士班(日間),男,9403,255,26,0,37,1,0,0,0,0,...,...,28
105,1,公立,一般大學,0003,國立臺灣大學,碩士班(日間),男,6160,137,15,0,4,87,0,0,0,0,...,...,12
105,1,公立,一般大學,0003,國立臺灣大學,碩士在職專班,男,842,21,3,0,0,13,0,0,0,0,...,...,0
105,1,公立,一般大學,0003,國立臺灣大學,博士班,男,2679,125,21,0,0,70,0,0,0,0,...,...,16
