學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),32,8,24,13.39
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),11,8,3,6.36
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),14,5,9,4.42
106,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),7,5,2,4.00
106,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),12,6,6,9.16
106,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),16,4,12,5.48
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),29,10,19,8.06
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),30,15,15,7.13
106,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),32,9,23,11.35
106,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),18,4,14,8.65
106,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),13,7,6,6.34
106,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),16,4,12,12.70
106,公立,一般大學,0001,國立政治大學,03299056,傳播學院大一大二不分系,學士班(日間),62,12,50,14.16
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),10,4,6,5.05
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),11,4,7,4.53
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),77,33,44,17.26
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),15,4,11,2.10
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),2,2,0,1.08
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),12,8,4,3.59
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),15,10,5,7.28
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,11,4,7,11.58
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,7,3,4,20.59
106,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,1,1,0,5.26
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,2,2,0,8.70
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,6,4,2,22.22
