學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,博士班,1,0,1,8.33
106,公立,一般大學,0001,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,博士班,8,7,1,72.73
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),3,0,3,6.52
106,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),1,1,0,2.13
106,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),2,0,2,5.00
106,公立,一般大學,0001,國立政治大學,01131002,華語文教學碩士學位學程,碩士班(日間),10,4,6,17.54
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),4,3,1,10.81
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),1,1,0,1.54
106,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),1,1,0,2.63
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),3,0,3,2.86
106,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),38,22,16,70.37
106,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),10,5,5,13.89
106,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),6,4,2,2.50
106,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),25,4,21,51.02
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),2,1,1,1.40
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,碩士班(日間),1,1,0,1.10
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,碩士班(日間),1,1,0,1.43
106,公立,一般大學,0001,國立政治大學,04212074,法律科際整合研究所,碩士班(日間),2,2,0,1.94
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,碩士班(日間),1,0,1,0.92
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),8,3,5,3.35
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),1,1,0,0.58
