學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),僑生小計,僑生男,僑生女,港澳生小計,港澳生男,港澳生女,僑生及港澳生數之在學比率(%)
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),1,0,1,2,2,0,1.66
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),7,5,2,9,7,2,8.51
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),7,0,7,4,0,4,7.24
106,公立,一般大學,0001,國立政治大學,02311017,斯拉夫語文學系,學士班(日間),2,1,1,3,0,3,2.04
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),11,5,6,4,3,1,3.56
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),1,1,0,9,7,2,4.59
106,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),16,3,13,1,1,0,6.03
106,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播學士學位學程,學士班(日間),4,1,3,0,0,0,30.77
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),7,1,6,6,4,2,2.91
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),12,6,6,4,2,2,3.86
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),7,2,5,5,2,3,5.71
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),21,6,15,4,3,1,7.33
106,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),12,2,10,5,0,5,7.59
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),2,2,0,0,0,0,1.08
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,學士班(日間),4,2,2,7,5,2,5.16
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),10,7,3,2,1,1,3.59
106,公立,一般大學,0001,國立政治大學,01131002,華語文教學博士學位學程,博士班,1,0,1,0,0,0,5.26
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,0,0,0,2,2,0,5.56
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,3,2,1,0,0,0,4.29
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),19,2,17,5,3,2,10.04
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),2,1,1,8,6,2,5.78
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),5,2,3,7,3,4,3.79
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),8,1,7,4,0,4,6.42
106,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,學士班(日間),2,1,1,1,1,0,1.71
106,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),7,2,5,1,0,1,6.11
106,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),9,2,7,5,2,3,4.79
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),11,3,8,13,7,6,6.67
106,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),9,2,7,4,1,3,6.25
106,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),5,2,3,4,4,0,4.39
106,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),12,0,12,5,3,2,9.94
106,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),7,2,5,2,1,1,7.14
106,公立,一般大學,0001,國立政治大學,03299056,傳播學院大一大二不分系,學士班(日間),26,3,23,19,7,12,10.27
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),10,4,6,0,0,0,5.05
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),8,3,5,3,1,2,4.53
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,學士班(日間),6,3,3,2,2,0,4.00
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),22,6,16,6,6,0,6.28
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,學士班(日間),7,5,2,10,8,2,3.28
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),14,4,10,1,0,1,2.10
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),4,3,1,4,3,1,3.88
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,2,0,2,0,0,0,5.88
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,博士班,1,0,1,0,0,0,5.56
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),3,2,1,0,0,0,6.52
106,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),1,1,0,1,0,1,4.26
106,公立,一般大學,0001,國立政治大學,01131002,華語文教學碩士學位學程,碩士班(日間),2,0,2,1,0,1,5.26
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),0,0,0,1,0,1,2.70
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),1,0,1,5,4,1,9.68
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),1,0,1,0,0,0,1.54
106,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),0,0,0,1,0,1,2.63
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),3,3,0,8,5,3,10.48
106,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),1,1,0,0,0,0,1.85
106,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),3,2,1,3,2,1,6.82
106,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),0,0,0,1,1,0,2.86
106,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),2,1,1,3,3,0,8.93
106,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),1,1,0,4,4,0,6.94
106,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),3,0,3,5,2,3,3.33
106,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),0,0,0,3,0,3,6.12
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),1,0,1,2,1,1,2.10
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),1,1,0,1,0,1,2.50
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,碩士班(日間),1,1,0,0,0,0,1.10
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,碩士班(日間),3,1,2,0,0,0,4.29
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),1,1,0,3,2,1,8.16
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,碩士班(日間),1,0,1,1,1,0,7.69
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),1,1,0,2,1,1,4.05
106,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),0,0,0,1,1,0,1.43
106,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),1,1,0,1,1,0,5.88
106,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),0,0,0,1,0,1,1.79
106,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),0,0,0,1,1,0,1.45
106,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),0,0,0,1,1,0,1.25
106,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),1,0,1,0,0,0,1.89
106,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),17,6,11,6,2,4,8.42
106,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),1,1,0,0,0,0,0.68
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),1,0,1,1,1,0,1.77
