學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),大陸地區來臺學位生小計,大陸地區來臺學位生男,大陸地區來臺學位生女,大陸地區來臺學位生數之在學比率(%)
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),4,1,3,0.95
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),2,0,2,0.59
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,9,3,6,9.47
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,4,2,2,11.11
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,6,2,4,27.27
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,6,3,3,8.57
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,博士班,1,0,1,6.25
106,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,5,3,2,17.86
106,公立,一般大學,0001,國立政治大學,03122045,外交學系,博士班,2,2,0,22.22
106,公立,一般大學,0001,國立政治大學,03131032,心理學系,博士班,1,1,0,8.33
106,公立,一般大學,0001,國立政治大學,03141030,社會學系,博士班,4,1,3,28.57
106,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,博士班,7,5,2,22.58
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,博士班,1,1,0,11.11
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),2,0,2,0.63
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),1,0,1,0.53
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),3,0,3,0.83
106,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),1,0,1,0.48
106,公立,一般大學,0001,國立政治大學,03299056,傳播學院大一大二不分系,學士班(日間),1,0,1,0.23
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),2,0,2,0.45
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),3,1,2,1.46
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,3,2,1,8.82
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,1,1,0,4.35
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,2,1,1,7.41
106,公立,一般大學,0001,國立政治大學,03143036,日本研究博士學位學程,博士班,1,0,1,11.11
106,公立,一般大學,0001,國立政治大學,03212051,新聞學系,博士班,1,0,1,14.29
106,公立,一般大學,0001,國立政治大學,03299056,傳播學院博士班,博士班,13,6,7,54.17
106,公立,一般大學,0001,國立政治大學,04123069,風險管理與保險學系,博士班,2,0,2,11.11
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,博士班,9,1,8,18.75
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,博士班,2,2,0,10.53
106,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,博士班,1,0,1,3.33
106,公立,一般大學,0001,國立政治大學,04121068,金融學系,博士班,3,2,1,11.54
106,公立,一般大學,0001,國立政治大學,04122070,財政學系,博士班,1,0,1,8.33
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,博士班,2,2,0,10.53
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,博士班,1,1,0,20.00
106,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,博士班,3,1,2,42.86
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),7,1,6,15.22
106,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),4,1,3,10.00
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),5,4,1,13.51
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),4,3,1,6.45
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),1,1,0,1.54
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),11,2,9,10.48
106,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),5,1,4,5.68
106,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),3,0,3,8.57
106,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),5,1,4,8.93
106,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),53,11,42,22.08
106,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),9,2,7,6.29
106,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),6,5,1,7.50
