學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),...,...,6,1,5,3,1,2,3,0,3,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,...,...,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1
106,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),...,...,4,0,4,1,0,1,0,0,0,0,0,0,3,0,3
106,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,碩士班(日間),...,...,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
106,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,碩士班(日間),...,...,3,1,2,1,0,1,0,0,0,0,0,0,2,1,1
106,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,碩士班(日間),...,...,4,3,1,1,0,1,0,0,0,0,0,0,3,3,0
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),...,...,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),...,...,3,1,2,0,0,0,0,0,0,2,1,1,1,0,1
106,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,博士班,...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02222031,民族學系,學士班(日間),...,...,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,學士班(日間),...,...,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02231022,哲學系,碩士班(日間),...,...,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),...,...,5,2,3,0,0,0,3,2,1,1,0,1,1,0,1
106,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),...,...,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0
106,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,學士班(日間),...,...,4,2,2,2,2,0,1,0,1,1,0,1,0,0,0
106,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,學士班(日間),...,...,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,學士班(日間),...,...,3,2,1,2,2,0,1,0,1,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,學士班(日間),...,...,3,1,2,1,0,1,1,1,0,1,0,1,0,0,0
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),...,...,5,1,4,1,0,1,3,0,3,1,1,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,...,...,3,2,1,1,0,1,0,0,0,0,0,0,2,2,0
106,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),...,...,5,2,3,1,0,1,0,0,0,2,2,0,2,0,2
106,公立,一般大學,0001,國立政治大學,02323002,華語文教學碩士學位學程,碩士班(日間),...,...,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),...,...,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,03111024,經濟學系,學士班(日間),...,...,4,3,1,0,0,0,2,2,0,1,1,0,1,0,1
106,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),...,...,5,2,3,5,2,3,0,0,0,0,0,0,0,0,0
