學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
106,公立,一般大學,0001,國立政治大學,學士班(日間),...,...,130,47,83,35,16,19,74,20,54,17,11,6,4,0,4
106,公立,一般大學,0001,國立政治大學,博士班,...,...,22,14,8,14,10,4,0,0,0,0,0,0,8,4,4
106,公立,一般大學,0001,國立政治大學,碩士班(日間),...,...,211,96,115,103,54,49,11,3,8,17,10,7,80,29,51
106,公立,一般大學,0002,國立清華大學,學士班(日間),...,...,59,31,28,14,5,9,26,11,15,17,14,3,2,1,1
106,公立,一般大學,0002,國立清華大學,博士班,...,...,40,32,8,36,30,6,1,1,0,0,0,0,3,1,2
106,公立,一般大學,0002,國立清華大學,碩士班(日間),...,...,113,66,47,49,27,22,6,5,1,6,4,2,52,30,22
106,公立,一般大學,0003,國立臺灣大學,學士班(日間),...,...,217,108,109,63,32,31,98,48,50,51,28,23,5,0,5
106,公立,一般大學,0003,國立臺灣大學,博士班,...,...,30,18,12,18,11,7,7,5,2,3,1,2,2,1,1
106,公立,一般大學,0003,國立臺灣大學,碩士班(日間),...,...,295,166,129,95,61,34,54,31,23,28,13,15,118,61,57
106,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),...,...,172,65,107,67,24,43,51,19,32,50,20,30,4,2,2
106,公立,一般大學,0004,國立臺灣師範大學,博士班,...,...,12,7,5,9,6,3,0,0,0,0,0,0,3,1,2
106,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),...,...,100,37,63,56,27,29,8,4,4,12,2,10,24,4,20
106,公立,一般大學,0005,國立成功大學,學士班(日間),...,...,131,80,51,37,25,12,52,26,26,40,28,12,2,1,1
106,公立,一般大學,0005,國立成功大學,博士班,...,...,25,16,9,19,10,9,2,2,0,0,0,0,4,4,0
106,公立,一般大學,0005,國立成功大學,碩士班(日間),...,...,243,140,103,167,92,75,24,18,6,18,9,9,34,21,13
106,公立,一般大學,0006,國立中興大學,學士班(日間),...,...,69,38,31,11,5,6,29,18,11,27,13,14,2,2,0
106,公立,一般大學,0006,國立中興大學,博士班,...,...,17,10,7,17,10,7,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0006,國立中興大學,碩士班(日間),...,...,44,24,20,29,18,11,5,2,3,5,3,2,5,1,4
106,公立,一般大學,0007,國立陽明交通大學,學士班(日間),...,...,87,62,25,21,19,2,28,17,11,33,24,9,5,2,3
106,公立,一般大學,0007,國立陽明交通大學,博士班,...,...,24,18,6,23,18,5,0,0,0,0,0,0,1,0,1
106,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),...,...,123,78,45,66,42,24,11,7,4,12,9,3,34,20,14
106,公立,一般大學,0008,國立中央大學,學士班(日間),...,...,46,29,17,3,1,2,20,9,11,18,16,2,5,3,2
106,公立,一般大學,0008,國立中央大學,博士班,...,...,23,16,7,20,13,7,0,0,0,1,1,0,2,2,0
106,公立,一般大學,0008,國立中央大學,碩士班(日間),...,...,107,57,50,91,48,43,0,0,0,3,0,3,13,9,4
106,公立,一般大學,0009,國立中山大學,學士班(日間),...,...,58,38,20,4,2,2,18,8,10,33,27,6,3,1,2
106,公立,一般大學,0009,國立中山大學,博士班,...,...,4,4,0,3,3,0,0,0,0,0,0,0,1,1,0
106,公立,一般大學,0009,國立中山大學,碩士班(日間),...,...,60,40,20,43,27,16,6,5,1,4,4,0,7,4,3
106,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),...,...,73,51,22,8,7,1,34,23,11,27,20,7,4,1,3
106,公立,一般大學,0012,國立臺灣海洋大學,博士班,...,...,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),...,...,18,7,11,10,5,5,6,0,6,2,2,0,0,0,0
