學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學位生總人數(A)(A=B+C+D+E)男,境外學位生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
108,公立,一般大學,0001,國立政治大學,博士班,巴西聯邦共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,日本,其他亞洲地區,7,6,1,7,6,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,史瓦帝尼王國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,布吉納法索,非洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,西班牙王國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,肯亞共和國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,俄羅斯聯邦,其他亞洲地區,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,美國,北美洲,12,7,5,10,6,4,2,1,1,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,英國,歐洲,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,泰國,東協,5,4,1,5,4,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,馬來西亞,東協,13,6,7,4,1,3,9,5,4,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,捷克共和國,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,菲律賓共和國,東協,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,新加坡共和國,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,義大利共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),大陸地區,大陸地區,245,86,159,0,0,0,0,0,0,0,0,0,245,86,159
108,公立,一般大學,0001,國立政治大學,碩士班(日間),大韓民國(南韓),其他亞洲地區,18,7,11,18,7,11,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),巴西聯邦共和國,中南美洲,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),日本,其他亞洲地區,16,7,9,12,5,7,4,2,2,0,0,0,0,0,0
