學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02221078,歷史學系,學士班(日間),2,1,1,0.42
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02311082,日本語文學系,學士班(日間),15,8,7,1.62
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02311084,西班牙語文學系,學士班(日間),2,1,1,0.42
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02311085,德國語文學系,學士班(日間),2,1,1,0.79
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02311088,英文學系,學士班(日間),13,4,9,1.98
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02311088,英文學系全英語學士班,學士班(日間),3,1,2,2.11
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,02322090,中國文學學系,學士班(日間),8,2,6,1.60
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03111075,產業經濟學系,學士班(日間),1,1,0,0.25
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03111076,經濟學系,學士班(日間),5,5,0,0.76
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03121074,全球政治經濟學系全英語學士班,學士班(日間),13,7,6,8.90
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03122059,外交與國際關係學系全英語學士班,學士班(日間),118,39,79,41.70
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03211055,大眾傳播學系,學士班(日間),17,4,13,5.84
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,03214054,資訊傳播學系,學士班(日間),1,0,1,0.24
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04111051,會計學系,學士班(日間),6,1,5,0.79
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04121035,商管學院全球財務管理全英語學士學位學程,學士班(日間),42,22,20,29.79
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04121037,財務金融學系,學士班(日間),16,6,10,2.64
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04121037,財務金融學系全球財務管理全英語學士班,學士班(日間),23,12,11,18.25
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04123104,風險管理與保險學系,學士班(日間),1,1,0,0.23
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04131040,國際企業學系,學士班(日間),211,86,125,27.16
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04131047,管理科學學系,學士班(日間),1,0,1,0.22
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,04131049,企業管理學系,學士班(日間),27,12,15,4.24
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,05411026,數學學系,學士班(日間),1,1,0,0.27
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,05421024,統計學系,學士班(日間),1,0,1,0.15
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,06131018,資訊工程學系,學士班(日間),11,7,4,1.33
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,06131018,資訊工程學系全英語學士班,學士班(日間),67,52,15,24.63
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,06131023,資訊管理學系,學士班(日間),4,3,1,0.55
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,07122009,水資源及環境工程學系,學士班(日間),1,0,1,0.22
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,07141019,電機工程學系,學士班(日間),1,1,0,0.13
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,07151015,機械與機電工程學系,學士班(日間),4,4,0,0.86
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,07311007,建築學系,學士班(日間),1,0,1,0.30
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,07321012,土木工程學系,學士班(日間),2,1,1,0.41
111,私立,一般大學,1005,淡江大學學校財團法人淡江大學,10151005,國際觀光管理學系全英語學士班,學士班(日間),27,9,18,7.74
111,私立,一般大學,1006,中國文化大學,01141023,體育學系,學士班(日間),2,2,0,0.44
111,私立,一般大學,1006,中國文化大學,02131059,美術學系,學士班(日間),7,3,4,2.92
111,私立,一般大學,1006,中國文化大學,02151007,中國音樂學系,學士班(日間),3,2,1,2.19
111,私立,一般大學,1006,中國文化大學,02151040,音樂學系,學士班(日間),5,3,2,2.84
111,私立,一般大學,1006,中國文化大學,02152009,舞蹈學系,學士班(日間),1,0,1,0.80
111,私立,一般大學,1006,中國文化大學,02152043,戲劇學系,學士班(日間),10,6,4,3.55
